area,year,est,lwr,upr,log_est,se,se_natural,type,common_name
Coastwide,2003,13264.0560498743,6324.75250301259,27816.9276679848,9.49281310308043,0.377857412712912,8637.74536394402,index,lingcod south
Coastwide,2004,23147.0791956289,11712.4259213232,45745.200771198,10.0496238828991,0.347566734133592,14626.2166084535,index,lingcod south
Coastwide,2005,10321.8343085273,5200.90348491722,20484.9530089651,9.24201676631548,0.349715165760877,6430.95512205231,index,lingcod south
Coastwide,2006,8396.7422686283,4142.91937652012,17018.2603903315,9.03559908444448,0.360436777562084,5102.75197525812,index,lingcod south
Coastwide,2007,3758.22655125357,1746.38936963396,8087.69628133257,8.23170246321583,0.391025932650092,2207.13613700884,index,lingcod south
Coastwide,2008,4185.76399135861,2235.34710745014,7837.98638384181,8.33944452094795,0.320053187487164,2564.50517575474,index,lingcod south
Coastwide,2009,4544.89735990195,2384.96200876124,8660.97318790104,8.4217604232767,0.328996835864318,2853.24699573541,index,lingcod south
Coastwide,2010,4964.61577109521,2436.5770214051,10115.5881952765,8.5100911859912909,0.363140199680968,3102.12193154872,index,lingcod south
Coastwide,2011,6573.85931724553,3200.76255446324,13501.6658023178,8.7908563541238,0.367206745191105,4224.95571542458,index,lingcod south
Coastwide,2012,13086.7098945818,6625.69040623492,25848.1705851792,9.47935248235978,0.347273026464783,8510.54369012963,index,lingcod south
Coastwide,2013,12733.601899873,6094.57392679205,26604.7502732969,9.45199959731719,0.375948471004477,8191.61249845589,index,lingcod south
Coastwide,2014,18069.2866296177,9766.75052040977,33429.6569387115,9.80196890464527,0.313898529508933,11901.208576586,index,lingcod south
Coastwide,2015,14373.0884925505,7499.26070257302,27547.4718119625,9.5731128823924,0.331920977042629,9267.94831886411,index,lingcod south
Coastwide,2016,17226.4096380976,9298.8514736493,31912.4560555093,9.75419892928799,0.314573512622394,10797.5185784524,index,lingcod south
Coastwide,2017,22146.0611378105,11558.6841349987,42431.1295465377,10.0054149329248,0.331752333950374,14114.4086333845,index,lingcod south
Coastwide,2018,26961.5931822594,13670.3930136972,53175.3188220194,10.2021686575777,0.346527274757442,17417.35453162,index,lingcod south
Coastwide,2019,10787.4347966699,4969.83605416109,23415.0077033172,9.28613729103228,0.395412959467151,6567.7474167562,index,lingcod south
Coastwide,2021,8785.24035409287,4957.33823823434,15568.9292055793,9.08082835984771,0.291946247076592,5506.50233773821,index,lingcod south
Coastwide,2022,4283.29647460154,2354.31400874766,7792.77047206342,8.36247819646684,0.305349245482497,2602.42937054403,index,lingcod south
Coastwide,2023,6727.00756846402,3575.51157223187,12656.2674772509,8.81388568311253,0.322466201460515,4081.09899267254,index,lingcod south
Coastwide,2024,5400.76119191506,2732.15598391931,10675.8990422844,8.59429518408398,0.347684383621082,3317.66888501686,index,lingcod south
Coastwide,2003,10721.8225620139,6783.14977995894,16947.5070992765,9.2800364352871,0.233595921418695,8969.26776740117,index,rosethorn rockfish
Coastwide,2004,6003.63791464103,3438.99214422734,10480.8812287105,8.70012088357987,0.28428438576632997,4970.67871003558,index,rosethorn rockfish
Coastwide,2005,4774.11348630972,2788.70976279878,8173.01243901764,8.47096357836104,0.274305683859192,3939.5799746355,index,rosethorn rockfish
Coastwide,2006,5300.33489615025,3249.39927153606,8645.76731380494,8.57552528549682,0.249647376505315,4400.90381163318,index,rosethorn rockfish
Coastwide,2007,5642.66327897703,3392.84029768933,9384.36415695723,8.63811144561941,0.259539845695277,4641.56355184913,index,rosethorn rockfish
Coastwide,2008,5584.06427932019,3217.67805275481,9690.76873582284,8.62767215571553,0.281258677849743,4592.16406261355,index,rosethorn rockfish
Coastwide,2009,6438.54524973271,3935.38329221799,10533.8824339755,8.77005790068211,0.251175196359233,5337.73877980008,index,rosethorn rockfish
