"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,8921.16072023663,3496.18916064296,22763.9595397798,9.09618134269552,0.477943731128454,7650.76124965059,"index"
"Coastwide",2004,16470.9914653992,5814.76903216739,46655.9477001501,9.70935601962331,0.531234085416852,13943.6117165578,"index"
"Coastwide",2005,3466.27715860513,1205.21163461441,9969.26763332462,8.15083643205404,0.539002746733126,2816.30451401535,"index"
"Coastwide",2006,6376.36505716694,2732.86800057857,14877.4223027427,8.76035347371922,0.432276610183566,5656.76063949871,"index"
"Coastwide",2007,5324.64548990053,1933.8243958679,14661.025920295,8.58010141369487,0.516767934618678,4408.90591728196,"index"
"Coastwide",2008,3216.9436199803,1300.23809110589,7959.10097152288,8.07618700143431,0.46219437443495,2805.30824230361,"index"
"Coastwide",2009,11715.6277547779,5002.01989760816,27440.1014986274,9.36867893506133,0.434233410621035,10272.7383026139,"index"
"Coastwide",2010,9072.82674257426,3470.2198073023,23720.7409535139,9.11303915305147,0.490348774086492,7538.55711286365,"index"
"Coastwide",2011,6205.73577633963,2360.12539204593,16317.4196826709,8.73322926858466,0.493253573728547,5162.45414479322,"index"
"Coastwide",2012,6535.11673436502,2580.048413505,16553.0811391865,8.78494548884676,0.474183226586602,5567.0885890054,"index"
"Coastwide",2013,8523.55767614675,3136.77385607122,23161.0689173477,9.05058910028912,0.510029261668363,7359.39086516199,"index"
"Coastwide",2014,6739.2759998724,2679.60103659981,16949.4788149834,8.81570777972002,0.470562005992017,5721.76115818115,"index"
"Coastwide",2015,10135.070480044,3484.86222699132,29475.9582860589,9.22375701298565,0.54469022499285,8290.5784781781,"index"
"Coastwide",2016,27414.4780551824,11100.6644169483,67703.4796125011,10.2188265489986,0.461266795327866,23394.9132999559,"index"
"Coastwide",2017,12824.1385153827,4685.69643343865,35097.9904477151,9.45908449549296,0.513690388222335,10642.583154436,"index"
"Coastwide",2018,13709.5933816127,5322.84080380065,35310.6466297012,9.52585111359084,0.482707180111769,11548.2245852303,"index"
"Coastwide",2019,3685.36011440025,981.055635361398,13844.1477560128,8.21212352424499,0.675264629258839,2963.91139473139,"index"
"Coastwide",2021,9067.76983689466,3961.22024575463,20757.3537227624,9.11248162940131,0.422545636697534,7897.31657750965,"index"
"Coastwide",2022,8598.89494664377,3660.02845429544,20202.3003992327,9.05938897940916,0.435805344069501,7535.52685169543,"index"
"Coastwide",2023,13610.8404178439,4680.80031977743,39577.6286583452,9.51862184376433,0.544600548475874,11072.8580141846,"index"
"Coastwide",2024,13863.1199352528,5336.89646558997,36010.8343076048,9.53698735096548,0.487043528204696,11664.3074033592,"index"
"WA",2003,161.818300409903,42.5975198932375,614.710960008413,5.08647410335768,0.680970712101593,104.082257508453,"index"
"WA",2004,282.81862212773,68.1122028392024,1174.33249385661,5.64480578096242,0.726365078688259,181.438733369238,"index"
"WA",2005,49.5036570192287,11.816647847061,207.386400102204,3.90204654602205,0.73089974389597,31.534389237287,"index"
"WA",2006,133.367500819934,36.4282259642173,488.272206624249,4.89310848176138,0.662136947043439,86.4815018975102,"index"
"WA",2007,83.0250625307356,20.7969231551599,331.45100151617,4.41914252041803,0.706307606060596,53.0516515496099,"index"
"WA",2008,62.5879669791606,16.2507271660583,241.050973938334,4.13657303884909,0.687989877890773,40.4069069901749,"index"
"WA",2009,233.249819973729,63.8091741471033,852.627843017565,5.45211006791034,0.661345362829312,150.787493869903,"index"
"WA",2010,143.668831365453,36.9955226372724,557.925165925886,4.96751086883108,0.692213726381795,91.8565441815979,"index"
"WA",2011,98.7872248191277,25.1684431885833,387.744117279834,4.59296829294329,0.69765431832353,63.1739390418107,"index"
"WA",2012,115.236181921043,29.9012659549199,444.107538582482,4.74698377812497,0.68832028018708,74.0190178976465,"index"
"WA",2013,159.062706330413,37.4081339831459,676.348746947771,5.06929850390966,0.73848823160654,102.458327017203,"index"
"WA",2014,117.156641751488,31.0222211816189,442.446678016056,4.76351185776832,0.677975773147667,75.2026515415109,"index"
"WA",2015,149.485689196136,35.9655283391721,621.31636337191,5.0072006638083,0.726870361631052,95.3269781859462,"index"
"WA",2016,487.031223656988,127.215556437696,1864.54722566097,6.18832823531275,0.684933653595267,312.943095647337,"index"
"WA",2017,201.981246730594,51.2188573210137,796.511795941757,5.30817485512414,0.700047089976506,129.112377142134,"index"
"WA",2018,230.435118563801,59.7347369420626,888.935761431676,5.43996934152838,0.688816551052371,147.693532187599,"index"
"WA",2019,50.0174424099113,9.59381085200193,260.766507055614,3.91237179279299,0.842491810140814,31.8110863666275,"index"
"WA",2021,175.471672858183,48.3590098260179,636.702614185524,5.16747762166273,0.657575894941696,113.250441863582,"index"
"WA",2022,170.784675750372,46.1161268673585,632.477344748672,5.14040355689828,0.667992297210484,110.390313811758,"index"
"WA",2023,195.593023604879,46.3147026508326,826.014822362488,5.27603609032293,0.735001581227464,124.620290459602,"index"
"WA",2024,231.881571589975,59.2910115079099,906.8670254658,5.44622677404894,0.695813324574585,148.589329710338,"index"
"OR",2003,2087.04374747122,757.40055139746,5750.92214525328,7.64350386875075,0.517158291307911,1860.43658830523,"index"
"OR",2004,3796.99004662622,1244.47311284259,11584.9296102889,8.24196393884997,0.569141285687691,3347.53778958416,"index"
"OR",2005,765.096111108942,240.495130825972,2434.02873573193,6.64000146137159,0.590470859263349,643.175056634975,"index"
"OR",2006,1554.38445490293,638.982698984543,3781.18380588944,7.34883489730744,0.453558088541415,1417.91346153235,"index"
