"Common_name","State","Source","Year","set_tows","total_lengths","total_ages","total_otoliths"
"California scorpionfish","CA","NWFSC HKL",2005,1,1,0,0
"California scorpionfish","CA","NWFSC HKL",2006,2,1,0,1
"California scorpionfish","CA","NWFSC HKL",2007,1,1,0,0
"California scorpionfish","CA","NWFSC HKL",2010,1,1,0,0
"California scorpionfish","CA","NWFSC HKL",2014,2,2,0,0
"California scorpionfish","CA","NWFSC HKL",2015,5,7,0,0
"California scorpionfish","CA","NWFSC HKL",2017,2,3,0,0
"California scorpionfish","CA","NWFSC HKL",2018,2,4,0,3
"California scorpionfish","CA","NWFSC HKL",2021,3,4,0,2
"California scorpionfish","CA","NWFSC HKL",2022,5,8,0,8
"California scorpionfish","CA","NWFSC HKL",2023,3,8,0,8
"California scorpionfish","CA","NWFSC HKL",2024,1,1,0,1
"California scorpionfish","CA","NWFSC WCGBTS",2003,7,74,0,0
"California scorpionfish","CA","NWFSC WCGBTS",2004,12,156,0,0
"California scorpionfish","CA","NWFSC WCGBTS",2005,10,226,103,0
"California scorpionfish","CA","NWFSC WCGBTS",2006,11,47,45,1
"California scorpionfish","CA","NWFSC WCGBTS",2007,12,191,68,0
"California scorpionfish","CA","NWFSC WCGBTS",2008,12,50,49,1
"California scorpionfish","CA","NWFSC WCGBTS",2009,11,347,130,0
"California scorpionfish","CA","NWFSC WCGBTS",2010,10,58,42,0
"California scorpionfish","CA","NWFSC WCGBTS",2011,16,239,116,1
"California scorpionfish","CA","NWFSC WCGBTS",2012,9,94,66,0
"California scorpionfish","CA","NWFSC WCGBTS",2013,7,259,67,0
"California scorpionfish","CA","NWFSC WCGBTS",2014,6,93,73,0
"California scorpionfish","CA","NWFSC WCGBTS",2015,14,163,57,1
"California scorpionfish","CA","NWFSC WCGBTS",2016,12,139,95,2
"California scorpionfish","CA","NWFSC WCGBTS",2017,13,309,0,140
"California scorpionfish","CA","NWFSC WCGBTS",2018,23,289,0,128
"California scorpionfish","CA","NWFSC WCGBTS",2019,13,215,0,88
"California scorpionfish","CA","NWFSC WCGBTS",2021,24,335,0,211
"California scorpionfish","CA","NWFSC WCGBTS",2022,17,465,0,201
"California scorpionfish","CA","NWFSC WCGBTS",2023,15,243,0,165
"California scorpionfish","CA","NWFSC WCGBTS",2024,11,211,0,105
"Dover sole","CA","NWFSC WCGBTS",2003,202,8844,422,894
"Dover sole","CA","NWFSC WCGBTS",2004,197,7661,529,648
"Dover sole","CA","NWFSC WCGBTS",2005,280,7670,482,741
"Dover sole","CA","NWFSC WCGBTS",2006,273,6232,472,501
"Dover sole","CA","NWFSC WCGBTS",2007,280,5040,463,551
"Dover sole","CA","NWFSC WCGBTS",2008,293,2866,470,89
"Dover sole","CA","NWFSC WCGBTS",2009,270,1464,511,13
"Dover sole","CA","NWFSC WCGBTS",2010,314,1460,523,83
"Dover sole","CA","NWFSC WCGBTS",2011,289,3760,536,4
