"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,5830.24747468658,4043.19559822938,8407.15834548671,8.67081472693189,0.18675041065579,5132.40355872958,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2004,6665.47363423167,4508.05121396478,9855.37578433215,8.80469629298844,0.199532267069074,5858.02044870362,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2005,6713.99100597687,4893.75864802314,9211.25835385194,8.81194883794672,0.161346286741422,5935.77557879189,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2006,7305.04930576885,5223.02193462365,10217.024938372,8.89632107375392,0.171171331897493,6466.73307752436,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2007,7085.24674519077,5177.61054315605,9695.73146180209,8.86576997793907,0.160039182704096,6278.91621533523,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2008,5824.85829536582,4466.46178277517,7596.38743399495,8.66988995116217,0.135481124431772,5191.50462465976,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2009,6137.40431694969,4449.79150613492,8465.05542962635,8.72215718207489,0.164056412823128,5400.43721396114,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2010,4341.21614138647,3258.87012403569,5783.03426308254,8.37590980475035,0.146315942765353,3845.76366227727,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2011,4479.35455936996,3284.44574914952,6108.98118008007,8.40723424346052,0.158309566371862,3960.18418054077,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
2012,6920.8814313709,5125.11042251515,9345.8668864325,8.84229841497584,0.15326356387881,6144.13816762384,"index","Coastwide",2,"aurora rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-183,-1280,31.9,49,TRUE,250,"off","iid",FALSE
