"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,9443.06393776194,6870.5893027691,12978.7202528204,9.15303577615638,0.162263499725574,7872.42132318776,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,14872.890698439,11275.9173986925,19617.28433319,9.6072954185734,0.141263254814252,12464.5215188363,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,10608.7151089556,8214.26821722332,13701.1396860654,9.26943112238541,0.130514222073698,8904.13260633645,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,9005.14651935261,6516.56209072386,12444.0867294799,9.10555152836637,0.165028185089274,7515.60808476674,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,8710.32905260255,6491.33746114089,11687.8582663114,9.07226484784737,0.150023664414835,7277.72870852037,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,5588.58087628031,3892.86622445571,8022.94104393295,8.62848066563297,0.184482819359947,4642.7648154604,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,9259.55707654589,6965.580909462,12309.00887783,9.13341149458975,0.14524512185572,7750.28564963569,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,10786.8310744258,8674.71851243201,13413.198879185,9.28608132414581,0.11118223075052,9116.54219019953,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,7656.06877759515,5975.8752006561,9808.67022136471,8.94325391658188,0.126414605250911,6445.18030680988,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,10124.3428244186,7938.86864978902,12911.4515113032,9.22269798363797,0.12406958949211,8537.78787758971,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,10977.9090401771,8287.16450306679,14542.3065814374,9.30364026342941,0.143460346341646,9190.08709574121,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,18019.74823634,14784.1849892131,21963.4242089095,9.79922355971845,0.100976474403537,15252.5270574871,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,16659.0262179056,13525.0791552729,20519.1519652343,9.72070746370676,0.106331804633931,14080.0670963793,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,15880.5336879176,12381.6986017043,20368.0737454207,9.67284934178789,0.126979169830104,13333.7305571401,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,12658.1913584361,10100.3451441264,15863.7953634649,9.44605982280955,0.115173008105692,10671.5153554133,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,14217.4664447585,11325.6364347464,17847.6815208099,9.56222651904161,0.116023750810991,11986.4671664369,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2019,12007.3797980194,8529.32920773511,16903.6938430202,9.39327672291376,0.174498474158185,10006.5804162799,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2021,8677.45786692011,6620.65154282642,11373.242428649,9.06848389228424,0.138030509725466,7265.533914999,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2022,14545.1844249234,11435.6825909555,18500.1978038774,9.58501525045864,0.122717281822167,12234.9285686317,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2023,8794.04259076701,6802.44881559464,11368.7272311308,9.08182979289107,0.131018655771049,7385.08297790029,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2024,5649.64914149587,4209.71137238994,7582.11967484229,8.63934872336199,0.150104470787953,4708.80502556863,"index","Coastwide",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2003,3412.8931243763,2292.68342538248,5080.43951880178,8.13531563414049,0.202982006443337,2869.29884633832,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,6580.6470280042,4700.50857250259,9212.8148772048,8.79188835200847,0.171667625478221,5572.38059881462,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,3689.75840215658,2593.83919401478,5248.71283374071,8.21331626122077,0.17981039068013,3109.0491774487,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,3961.5956017495,2644.24356944418,5935.24737779733,8.28440215282886,0.206259828095837,3329.72024539135,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,3582.90950831147,2422.42657927593,5299.3311147477,8.18393046114217,0.199700315289632,3003.519843723,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,2519.50448454867,1619.7576593169,3919.0448096649,7.83181752805504,0.225405011274577,2108.35625019405,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,3276.22162649084,2279.0107961659,4709.77503219556,8.09444609423868,0.185181631207968,2759.29825753895,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,3810.84552569471,2837.70993064959,5117.69841725259,8.24560636625405,0.150438337212811,3235.14598901513,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,3845.85682465127,2888.0763249735,5121.2686409361,8.25475169837603,0.146128078197733,3276.99614247237,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,4966.13589157989,3743.1588055074,6588.68805067835,8.51039733008757,0.144243566708449,4233.16647580132,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,5066.44779832631,3610.47609706054,7109.55912824455,8.53039521953446,0.172860469239979,4283.43739469838,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,8681.3009594033,6838.12498615185,11021.2940682367,9.06892667653908,0.121766435615994,7427.46525062778,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,5121.86842701501,3789.4070539445,6922.86043969489,8.5412745786152,0.153732285542793,4340.15978292178,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,4086.00108899255,2742.29563425786,6088.11270771925,8.31532204189553,0.203458519500649,3414.39590831953,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,4009.7197258423,2866.23061601582,5609.4063715493,8.29647662405302,0.171290674415362,3384.95580755925,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,6209.6714110829,4683.2507720059,8233.60116953647,8.73386326065849,0.143939126279145,5289.25236901212,"index","California",3,"big skate","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
