"year","mean_depth","ci_lower","ci_upper"
2003,-230.547121292863,-233.543816426493,-227.954550971977
2004,-215.434372424603,-217.889987746834,-212.951429510801
2005,-210.749478046733,-212.819953581766,-208.775490642655
2006,-236.557232854808,-238.862865901952,-234.657504928802
2007,-218.640628481833,-220.435112724478,-216.596807362598
2008,-205.050144788382,-206.69966326523,-203.388916497906
2009,-239.514654549707,-242.197911402715,-236.563916136149
2010,-210.48875827054,-212.421461857988,-208.465547046976
2011,-250.892692534333,-254.140416076166,-247.956182483042
2012,-255.852720513567,-258.411943072354,-253.410235554819
2013,-239.153189443648,-241.678031893185,-236.284913685355
2014,-232.761674182423,-234.558768987874,-230.836378187038
2015,-235.310135303693,-237.986306837025,-232.881175896986
2016,-252.133530501016,-255.200258183435,-248.605347964099
2017,-226.833916845493,-228.558530745071,-225.214613694006
2018,-225.86036004094,-227.849377467692,-224.167856292632
2019,-210.22604963554,-212.033845635848,-208.67779321311
2021,-208.224920675319,-209.745029984902,-206.669997759075
2022,-225.97020421346,-228.08318653973,-223.929616345687
2023,-206.202939977224,-207.9013691414,-204.585296304664
2024,-216.585173052848,-218.342110664044,-214.747947113235
