"year","mean_depth","ci_lower","ci_upper"
2003,-520.429290262997,-521.923514472805,-518.906940166484
2004,-532.486969588512,-534.631215741461,-530.353611881252
2005,-546.947249276381,-549.155460728272,-544.812708179335
2006,-548.118719745318,-550.724804151651,-545.522558037629
2007,-535.111785399331,-537.190904136202,-532.77047601431
2008,-523.918698261048,-525.889155259378,-522.015129205808
2009,-534.958980494374,-537.595899405246,-532.813939013613
2010,-524.689711277384,-526.752551967558,-522.592637487456
2011,-518.180664677935,-520.174348036201,-516.124731431127
2012,-548.639059071861,-551.145610444906,-545.991719927686
2013,-547.935125842381,-550.372828843834,-545.264191697748
2014,-521.927002206033,-523.823234840761,-520.07524608482
2015,-519.860026103857,-521.640029086619,-518.202119100385
2016,-549.20034448615,-551.443461227564,-546.531235432898
2017,-524.758267453268,-526.921761606604,-523.057811866329
2018,-559.935340680349,-562.740526056747,-557.162263238446
2019,-529.325345303587,-531.1534064217,-527.412668727476
2021,-552.032863243239,-554.606071778675,-549.645403898131
2022,-540.738456873734,-543.088049197146,-538.119160363622
2023,-541.508573605464,-543.906009583675,-539.096371039813
2024,-529.683554068764,-531.582488201172,-527.486337320922
