"year","mean_depth","ci_lower","ci_upper"
2003,-96.2048498944239,-97.0968459151067,-95.2984206352992
2004,-101.894465318051,-103.165178316323,-100.720324218582
2005,-95.8374101850459,-96.4991367364772,-95.1397658356186
2006,-94.2576131512748,-95.0779158689373,-93.5043670348787
2007,-95.4723357740077,-96.3794390000705,-94.5884916642603
2008,-88.5148477117384,-89.4742479174518,-87.6465277462661
2009,-93.6163652137265,-94.1797553871608,-93.0290670598284
2010,-104.176726968265,-105.379377268989,-102.983899558383
2011,-97.8631490329988,-98.680556166365,-96.9256726977794
2012,-98.7982782416853,-99.5767184128295,-98.0000188403086
2013,-100.381719377803,-101.238481694861,-99.5068787566757
2014,-104.447620666807,-105.449232120897,-103.556280847651
2015,-107.184998857347,-107.924994664035,-106.515085693708
2016,-108.605904002258,-109.456859006154,-107.709012419439
2017,-102.631226366602,-103.37064120088,-101.795020077386
2018,-102.727845434722,-103.697068066579,-101.882756582443
2019,-101.898959747076,-102.658940038703,-101.129301399615
2021,-98.2401431821412,-98.9790389898192,-97.5313223156917
2022,-107.708630758804,-108.668917863502,-106.800594300536
2023,-100.416496356687,-101.236054283937,-99.5635705704406
2024,-97.4545278291985,-98.0828377613057,-96.9390765772987
