"year","mean_depth","ci_lower","ci_upper"
2003,-487.436032314894,-491.607741463214,-484.019607581368
2004,-485.517310461254,-489.554931575945,-481.84104053403
2005,-488.513937700796,-491.88182556734,-484.917361159241
2006,-487.300271990366,-491.021081627922,-483.599629073919
2007,-488.170972207345,-492.560492120041,-484.293478399293
2008,-486.520230726569,-490.261794081499,-482.408612215877
2009,-485.951311276273,-489.863372081401,-482.253319543184
2010,-487.623567200921,-491.458761525113,-484.103916260461
2011,-485.489417121825,-489.529126596681,-481.920621844099
2012,-487.35107072635,-491.295372492099,-483.55354045459
2013,-486.473364487245,-490.263489335321,-483.012391138727
2014,-488.590077808008,-492.12491269651,-485.244851460083
2015,-486.858546013394,-490.669659318221,-483.257753527335
2016,-487.375359316692,-490.872993897068,-483.946815264934
2017,-484.97572041262,-488.488191465081,-480.769931164357
2018,-485.214173714586,-488.462355078718,-481.156142990535
2019,-486.252853033016,-489.626433190677,-482.723804522147
2021,-485.763003510682,-489.615730904446,-482.142806849458
2022,-486.09700536305,-489.557623951901,-481.591450369971
2023,-486.453707437597,-490.115198411519,-482.775218418422
2024,-488.248281313854,-491.750068161682,-484.791798680971
