"year","mean_depth","ci_lower","ci_upper"
2003,-154.013862564471,-154.882016662072,-153.21712334666
2004,-154.124706061447,-154.938024403775,-153.383851533301
2005,-154.078791461242,-154.827318669213,-153.171183823732
2006,-154.651347036846,-155.389872425651,-153.90419613497
2007,-154.365125906859,-155.345486535823,-153.535835732515
2008,-154.46832093654,-155.333763711528,-153.519769660185
2009,-154.609077065802,-155.529573091113,-153.747470720373
2010,-154.28333133446,-155.176085891598,-153.460878554599
2011,-154.303926957941,-155.137737022036,-153.405032612725
2012,-154.018331632866,-154.757478652178,-153.187138112149
2013,-154.115919821294,-155.041318937024,-153.365571274078
2014,-153.534732151326,-154.367785049096,-152.727560894581
2015,-153.599669796937,-154.326057745567,-152.750300413229
2016,-153.412409094042,-154.31060851978,-152.591585567296
2017,-153.410906736634,-154.179585350879,-152.549920643159
2018,-153.783332599293,-154.813368595757,-153.019812147159
2019,-153.554561515587,-154.495903068777,-152.672216583407
2021,-154.039046622967,-154.815730976885,-153.283405365772
2022,-153.952867229144,-154.67702614678,-153.214254523313
2023,-153.865540104814,-154.704010824102,-152.999379926161
2024,-153.987768348157,-154.864414591814,-152.991459723264
