"year","mean_depth","ci_lower","ci_upper"
2003,-197.139915679779,-198.307301293806,-195.987330561465
2004,-197.68039379068,-198.645767141817,-196.796725752355
2005,-196.371417540112,-197.447970066577,-195.38921023848
2006,-195.619824075052,-196.519453824671,-194.486747507724
2007,-194.632721010786,-195.578029307676,-193.738946352306
2008,-195.311241622825,-196.213079660851,-194.41535169405
2009,-194.970832984361,-195.970694764245,-194.041455129419
2010,-196.431813810811,-197.343321914846,-195.555924369233
2011,-195.743115632645,-196.729741967099,-194.839830325735
2012,-196.208549509712,-197.290583502744,-195.294389501349
2013,-198.691697576203,-199.533437536397,-197.775634485663
2014,-197.798193403769,-198.657381722922,-196.763772310714
2015,-197.025933275767,-198.14442789721,-196.123747410806
2016,-197.375419617443,-198.348744088064,-196.252029621913
2017,-196.69201144227,-197.727083214158,-195.783855193929
2018,-196.401517868406,-197.469876505455,-195.480887134227
2019,-196.468670221503,-197.46857146617,-195.559989575199
2021,-196.866975633521,-197.860752410739,-195.916482559268
2022,-195.719402042759,-196.755423413727,-194.58807946019
2023,-196.389070404688,-197.524992300399,-195.273628856876
2024,-196.629307621073,-197.593723235595,-195.671803378917
