"year","mean_depth","ci_lower","ci_upper"
2003,-70.1545123133172,-70.6976838394584,-69.7320098565826
2004,-67.0131353006816,-67.4199656225614,-66.5420291588689
2005,-89.6118758434827,-90.9167172381708,-88.3090287777408
2006,-76.6323872141698,-77.2313576705932,-76.0417189614679
2007,-77.461259593777,-78.1625848075612,-76.7981360648967
2008,-75.4649126576923,-76.1802301799373,-74.8457459930488
2009,-80.7431593098869,-81.6427577986863,-79.9497095244539
2010,-82.7444653755388,-83.5837655057287,-81.990164444513
2011,-86.5683218595019,-87.4233515274363,-85.5637415291487
2012,-89.0762460911653,-90.362096662444,-87.7761782654563
2013,-77.1090321204206,-77.8374026398293,-76.4908778200757
2014,-73.9517006880659,-74.3368265651474,-73.5117349479032
2015,-75.5288426430365,-76.1546853588829,-74.9272338206602
2016,-83.469907130071,-84.35539186776,-82.6673033750146
2017,-74.6338085189706,-75.1455552443217,-74.1024953185724
2018,-76.3979481486593,-77.0483339404062,-75.7300478777063
2019,-72.1505895921224,-72.6743691413372,-71.5963216823707
2021,-71.322348304331,-71.9685002622741,-70.7423637992825
2022,-85.66652107348,-86.9614104210695,-84.4178614441084
2023,-73.947938776048,-74.6246064079282,-73.3016441486696
2024,-80.1356697116244,-80.9150767768347,-79.2917799582336
