"year","mean_depth","ci_lower","ci_upper"
2003,-332.05269003146,-333.79900774917,-329.758849467822
2004,-333.541389846192,-335.692518545065,-331.518665190383
2005,-329.825912615116,-331.591364223032,-327.906163900865
2006,-337.164885039241,-338.795476285855,-335.478494719295
2007,-331.777093976035,-333.871399406292,-329.512715374556
2008,-330.17349951144,-332.160695113454,-328.221807374308
2009,-332.338920654175,-333.958771599856,-330.406929241427
2010,-328.189412389205,-329.877088037653,-326.261692543086
2011,-325.217842421411,-327.116533877052,-323.300989499285
2012,-328.046167465442,-329.632929878194,-326.345930531848
2013,-336.666149153021,-338.575702587928,-334.753730949259
2014,-330.535102218459,-332.507590535195,-328.886623730903
2015,-330.697740040438,-332.682350892627,-329.044064453958
2016,-328.973329526317,-330.752624955738,-327.037380154721
2017,-329.711700576529,-331.476392710581,-328.061080788502
2018,-333.597051780868,-335.330149941072,-331.753738802782
2019,-329.963857862756,-331.668642833829,-328.219787238066
2021,-334.246433711322,-336.256327467283,-332.423181451456
2022,-338.630233309593,-340.619871271063,-336.848601862461
2023,-332.216515818451,-334.138541771399,-330.61871451257
2024,-327.62540323649,-329.319889917084,-325.833748681879
