"year","mean_depth","ci_lower","ci_upper"
2003,-535.503970014589,-539.573353098832,-530.974402423555
2004,-606.079510070076,-611.59927682693,-599.97331791504
2005,-580.508734730753,-585.885085595554,-575.527229545299
2006,-555.977662064982,-560.982877498158,-551.403458271819
2007,-606.181627763615,-611.751687751914,-600.849457159248
2008,-570.498454009087,-575.127372258204,-566.548436931055
2009,-617.253482286237,-621.886700014069,-611.730074274677
2010,-570.106493363521,-574.808031750067,-565.917553476362
2011,-558.413523581861,-563.005919631052,-553.971324789104
2012,-577.360536802233,-582.507128267472,-572.987824283752
2013,-611.568984369756,-616.612046911346,-606.777427186432
2014,-611.097566734401,-615.641033746501,-606.11417183828
2015,-557.308914554912,-561.942572159543,-552.733963699592
2016,-541.650673618767,-546.986467930783,-536.690844173162
2017,-697.78212114885,-703.148842318725,-693.145432641011
2018,-578.179388364092,-582.837103953972,-573.715332960335
2019,-566.39212063605,-571.003298898856,-561.871898951642
2021,-551.348255884762,-555.103841593382,-547.225229352963
2022,-575.107506442966,-579.856105933203,-570.875340442643
2023,-593.979659357544,-598.495665565759,-589.410442733917
2024,-600.765487751728,-606.269660540153,-594.985075919407
