"year","mean_depth","ci_lower","ci_upper"
2003,-113.064465716894,-114.320919881321,-111.689013345878
2004,-106.57226509077,-108.204014540021,-105.145429952182
2005,-117.199865192997,-118.666550027353,-115.896889462865
2006,-108.692540979961,-109.607007302765,-107.694736897176
2007,-105.846233444292,-106.894220773655,-105.019204330691
2008,-105.391779224308,-106.450778410972,-104.572181128645
2009,-102.456341504715,-103.291935280133,-101.645875099334
2010,-106.027247067328,-106.778402117351,-105.298446094183
2011,-125.179736840889,-126.562286036256,-123.708036926414
2012,-115.337643951919,-116.768612063795,-113.923307607159
2013,-115.249322502124,-116.680536849533,-113.890865450245
2014,-123.571726216835,-124.996191593065,-122.11709810193
2015,-118.259649398663,-120.004562883365,-116.856109380003
2016,-119.90600865519,-121.811919145435,-118.19238118171
2017,-113.833905463723,-114.936360537612,-112.78520912767
2018,-112.91418590616,-114.205856790233,-111.515864231809
2019,-107.976684613244,-108.976138862221,-106.786066750697
2021,-114.455693055879,-115.572990401471,-113.339574520945
2022,-100.804839830503,-101.613910196543,-99.9419432887056
2023,-118.54085412392,-119.950641466076,-117.37616438913
2024,-115.709107637669,-117.218154155254,-114.350864845583
