"year","mean_depth","ci_lower","ci_upper"
2003,-160.687122939114,-162.440726650525,-158.745870852668
2004,-144.40511971431,-145.202429082837,-143.691200514492
2005,-154.903605117428,-155.836097589213,-153.928406247083
2006,-152.260454534955,-152.989720262422,-151.282732119316
2007,-153.062858574551,-153.866090543346,-152.270974551459
2008,-159.991043084114,-160.706697662319,-159.144245253009
2009,-148.66751049572,-149.437310349908,-147.877774271815
2010,-149.973154840259,-150.76686457858,-149.101188477618
2011,-155.01763294399,-155.977845283239,-154.129208062725
2012,-150.456479183836,-151.221406255196,-149.56499929498
2013,-149.986564778884,-150.652803089308,-149.337701604253
2014,-153.417645016483,-154.174105816426,-152.69404713843
2015,-150.107556640278,-151.045910713322,-149.276687180879
2016,-148.878645577631,-149.536773253848,-148.12024588732
2017,-149.219492540457,-150.046689743856,-148.195888940577
2018,-150.287523221125,-151.251128284379,-149.356035508257
2019,-153.080464865095,-153.836872485751,-152.227840456236
2021,-148.663069345076,-149.615674825526,-147.63497550897
2022,-155.427005425995,-156.125217517502,-154.718404924135
2023,-151.812402513161,-152.46186217821,-151.077329863519
2024,-156.900348605836,-157.665926258577,-156.079485895339
