"year","mean_depth","ci_lower","ci_upper"
2003,-181.25962653962,-183.355270078174,-179.223684735483
2004,-171.846844222971,-174.055673264178,-169.448868389612
2005,-199.112941495904,-201.579951757883,-195.764468770279
2006,-241.313794666411,-245.260305880915,-236.778594692741
2007,-179.783955149297,-182.020717597402,-177.343657553757
2008,-189.592964676774,-192.383778934956,-186.623830892965
2009,-189.540487827207,-191.894567357495,-187.527269780359
2010,-183.01659189964,-184.981079510264,-181.004331537187
2011,-200.676312766184,-203.333054628251,-197.656533137844
2012,-177.367002406801,-179.713862651117,-175.369087577368
2013,-192.360549513843,-195.190356866919,-189.927433774432
2014,-166.454158371897,-168.484480710575,-164.164819940086
2015,-185.901791950303,-188.122081026047,-183.414096388791
2016,-186.294380021248,-188.705176706496,-184.003895300272
2017,-192.41153139549,-194.872406166934,-189.934712806749
2018,-139.38090772208,-140.420191401275,-138.347943886003
2019,-185.352355025612,-187.340739351935,-183.260085087152
2021,-170.547521336295,-172.678536882632,-168.702350710085
2022,-181.981447882274,-184.538640728857,-179.046266904451
2023,-185.318575677332,-188.026094169079,-182.860250906706
2024,-198.88228300971,-201.263839985236,-196.443965569538
