"year","mean_depth","ci_lower","ci_upper"
2003,-287.114690565437,-289.128362842975,-285.258600377548
2004,-295.52091796101,-297.525038353707,-293.444086327668
2005,-295.662157131312,-297.718916620696,-293.618770844029
2006,-301.931599559825,-303.905639455493,-299.758144017258
2007,-292.000059467269,-293.90975698269,-289.967543860554
2008,-303.062437898024,-305.37058977999,-300.88420967743
2009,-292.803587174764,-294.717466906517,-290.920077604146
2010,-303.4625091716,-305.394939289953,-301.266434136969
2011,-302.001106658984,-304.384363598135,-299.700375382811
2012,-306.759801612016,-308.963580400337,-304.254373227235
2013,-308.296289231844,-310.472314952462,-305.879082011426
2014,-308.39073893048,-310.697804739762,-306.321791803727
2015,-301.408311461983,-303.579721338852,-299.209198911528
2016,-303.651652651576,-305.835017661347,-301.498289652083
2017,-304.429028575596,-306.66695596019,-302.504695189266
2018,-303.323412095802,-305.610731894771,-301.174836377034
2019,-302.996792402971,-305.451896549981,-300.847482586022
2021,-295.759749598795,-297.839462123209,-293.779587319812
2022,-301.479758646233,-303.936341527308,-299.329118234735
2023,-300.373354084487,-302.458481235184,-298.155134679632
2024,-290.512722766162,-292.86709319957,-288.309887503234
