"year","mean_depth","ci_lower","ci_upper"
2003,-929.589542879587,-932.820012980452,-926.828427730533
2004,-928.867243983183,-931.586827472832,-926.113368916633
2005,-929.194362857977,-931.962580983665,-926.796098554434
2006,-930.056259449627,-932.76331178835,-926.87514426621
2007,-930.087713914545,-933.211482648099,-927.043814111517
2008,-929.211922399611,-931.88056280142,-926.709544657231
2009,-930.330310580538,-932.77375302115,-927.548926582371
2010,-929.842501409809,-932.732970351731,-926.995801457372
2011,-930.164394400826,-933.091848039542,-927.382528949362
2012,-931.204168641852,-933.686888947025,-928.530427626563
2013,-931.298498967023,-934.262966673652,-928.086420199174
2014,-930.377562907772,-933.434665140642,-927.642360614903
2015,-929.936796685586,-933.154219628492,-927.282621352174
2016,-931.007611234406,-933.476415832574,-928.726452609943
2017,-931.902830883052,-934.574784149303,-929.4324939802
2018,-931.448221254394,-934.320130083676,-929.01011993295
2019,-931.263494132983,-933.658239971351,-928.412561602961
2021,-930.503487957125,-933.387791590251,-927.840245980907
2022,-931.194110098799,-934.04740637181,-928.773339662864
2023,-931.693474583403,-934.552694483967,-928.721436833569
2024,-931.358007364262,-934.126648800446,-928.824728490789
