"year","mean_depth","ci_lower","ci_upper"
2003,-158.908326502515,-160.30830125263,-157.485699788736
2004,-146.267255288006,-147.550064667507,-144.774881254531
2005,-155.560151246985,-157.145514525285,-153.978648637928
2006,-152.74948118549,-154.241010175107,-150.777365957021
2007,-165.323289985049,-167.513381306695,-163.606186084491
2008,-148.759565035838,-150.204186353919,-147.363374219756
2009,-152.588031333945,-154.412821290242,-150.707642994847
2010,-183.493904965059,-185.558564289994,-181.504618654993
2011,-118.703870036816,-119.10701393508,-118.273721200377
2012,-145.00541787901,-145.535447649437,-144.483988227922
2013,-137.086847076005,-138.600177186197,-135.896121003406
2014,-147.154300798966,-148.379022578514,-145.87531400972
2015,-157.758802879692,-159.06595406126,-156.349775392068
2016,-150.614075079382,-151.980147691587,-149.51021339968
2017,-149.27165541929,-150.504885966065,-148.015045499332
2018,-126.583842125637,-127.999273284145,-125.064657824713
2019,-158.363299407643,-159.698777492596,-156.861426668981
2021,-149.920461778155,-151.169518146419,-148.669989897416
2022,-157.669395109075,-158.947215749272,-156.44448098739
2023,-131.361789748619,-132.13929261474,-130.580820446112
2024,-150.759587591836,-152.147300033081,-149.336416220738
