"year","mean_depth","ci_lower","ci_upper"
2003,-313.178654105264,-315.094302793635,-311.091818862653
2004,-315.814741440224,-317.735060014323,-313.85868406816
2005,-310.275019130768,-312.060177918267,-308.658823342835
2006,-308.025094112648,-309.83761999423,-306.067616777949
2007,-306.306385815136,-308.265573859794,-304.424637845116
2008,-307.178810222057,-309.124750740958,-305.173267208977
2009,-280.495262496625,-281.64352417707,-279.344693355442
2010,-304.636708360599,-306.631175491367,-302.605135529138
2011,-313.10269762963,-314.85020048634,-311.078500109692
2012,-305.839674960027,-307.755195734693,-303.822153468525
2013,-300.759417039821,-302.821660943932,-298.639170537265
2014,-315.749675127368,-317.891821891871,-313.456410644621
2015,-292.663505383782,-294.510846041678,-290.668350549679
2016,-312.970171507423,-314.865876451923,-311.126320220154
2017,-310.768354038265,-312.853828805554,-308.9618610959
2018,-306.956125510031,-309.018711537618,-305.082582389642
2019,-317.90719147674,-319.905033872144,-316.176493268261
2021,-320.213973272419,-321.984012663839,-318.217366407398
2022,-302.363993475335,-304.56516371035,-300.003043572565
2023,-313.76696902483,-315.892961396407,-311.726168389409
2024,-331.077702719328,-333.034960262573,-329.353317604415
