"year","mean_depth","ci_lower","ci_upper"
2003,-122.859958051705,-123.971581924424,-121.695260946466
2004,-104.131062468687,-104.966338723695,-103.179651157273
2005,-124.91230716784,-125.974001944802,-123.846673014292
2006,-105.449415473731,-106.525139262686,-104.353541321075
2007,-101.420732909376,-102.181853269827,-100.389042019838
2008,-105.415239684247,-106.276195179199,-104.494252665751
2009,-116.635236353042,-117.942383070512,-115.328909542142
2010,-120.502122120637,-121.485798473945,-119.309045427528
2011,-120.08562151737,-121.451322883452,-118.877706243245
2012,-118.56150191801,-120.158910475134,-117.273321198921
2013,-125.91392321988,-126.753640471497,-124.987604487273
2014,-128.86089605864,-129.988161315793,-127.899058652827
2015,-106.642985559631,-107.883419887611,-105.519142346211
2016,-121.489777206602,-122.611241755584,-120.588884750233
2017,-114.587710612896,-115.769108692223,-113.553772708179
2018,-106.269836232063,-107.154050905095,-105.446731373878
2019,-92.5378952561915,-93.1336932236574,-91.9465073284695
2021,-89.0273108613089,-89.7073340045143,-88.3088892010332
2022,-93.7872250234433,-94.4732450679137,-93.0298567986932
2023,-106.050887775425,-106.971586019781,-105.156486911348
2024,-101.33217722696,-102.241245732012,-100.343400575078
