"year","mean_depth","ci_lower","ci_upper"
2003,-171.144094512206,-172.468878532563,-169.856720880788
2004,-166.298930009526,-167.417616251943,-165.262710726709
2005,-174.452522515942,-176.016789280356,-173.087273371992
2006,-191.759981615802,-193.859302275027,-189.661691132364
2007,-174.928947753988,-176.354461265229,-173.591354479506
2008,-178.137038940939,-179.511187557998,-176.497865694587
2009,-181.217408886654,-182.890940520595,-179.700512133398
2010,-176.415610998884,-178.122078003816,-174.639030799526
2011,-178.17233638454,-179.466391428963,-176.607386220525
2012,-177.272391827664,-178.725710052196,-175.827961459961
2013,-170.164194376615,-171.792296027172,-168.642045744075
2014,-179.879280348211,-181.314086174715,-178.556214639916
2015,-173.45123987436,-174.874602544215,-172.316303405826
2016,-167.994092173144,-169.124020013195,-166.937457536697
2017,-163.735535173891,-164.74966958449,-162.65712554787
2018,-164.511520130929,-165.699570068524,-163.354239150509
2019,-163.054864516313,-164.279712428386,-162.008457930293
2021,-161.848168155559,-162.892568530559,-160.693166071941
2022,-171.278220178141,-172.776373374618,-170.025280451695
2023,-180.656667703611,-182.208921575686,-179.183491250096
2024,-167.155892699286,-168.618274409771,-165.841164053938
