"year","mean_depth","ci_lower","ci_upper"
2003,-120.952239879937,-121.974007828901,-120.007909675109
2004,-120.93770401423,-121.889728426597,-119.950522834423
2005,-119.739862245325,-120.878770509666,-118.759943689812
2006,-118.342215409947,-119.335146257378,-117.394678170998
2007,-115.452689576136,-116.314609040588,-114.556388305066
2008,-115.200775448431,-116.069364867049,-114.298605232994
2009,-122.630866624359,-123.547838335592,-121.618830072515
2010,-124.383521933466,-125.325827356833,-123.502692194007
2011,-128.44369376145,-129.335984886603,-127.529353314863
2012,-124.352042075836,-125.402085435868,-123.462067026996
2013,-125.229813069614,-126.422783324239,-124.1057685878
2014,-129.40705534863,-130.23537998413,-128.502344726249
2015,-126.986947551306,-128.24482527032,-125.94251593062
2016,-125.289561264504,-126.345825829021,-124.330386525466
2017,-126.343733561601,-127.413452214635,-125.336495378708
2018,-125.006775620827,-125.967349460918,-124.092320635869
2019,-122.404260583479,-123.393013023222,-121.765003922431
2021,-125.807397162411,-126.672422396223,-124.972697958771
2022,-124.055070958806,-124.939536146679,-123.255829138358
2023,-126.388747183038,-127.293532770198,-125.447675159993
2024,-126.361708474354,-127.235510205525,-125.420745101808
