"year","mean_depth","ci_lower","ci_upper"
2003,-281.681543172469,-284.236145903852,-279.114034183294
2004,-278.378964871662,-281.429187842117,-275.522755290943
2005,-283.761583040354,-286.79983117457,-280.911677915492
2006,-296.664122355777,-298.833086212293,-294.498628923803
2007,-264.675101460887,-266.630425089104,-262.535914991719
2008,-309.091649677796,-310.917863930538,-307.166413244258
2009,-294.152110463852,-296.353447029345,-292.147326536918
2010,-302.352827915632,-304.725707756616,-300.22009437122
2011,-298.049230390974,-300.323014783353,-295.933408697525
2012,-292.378554248833,-294.403067055423,-290.235517166881
2013,-296.855175241137,-298.872319323093,-294.745026463443
2014,-234.70365390009,-236.438927892759,-233.099953200516
2015,-315.708459822017,-318.219908551091,-313.376499380869
2016,-289.492272180843,-291.882844176136,-286.677372074861
2017,-291.068713446155,-293.3831758781,-289.259765199331
2018,-290.707457400176,-293.022163835137,-288.543190906581
2019,-308.916651894228,-311.42236834988,-306.474664820279
2021,-286.284352644231,-288.857596730286,-284.161545406179
2022,-265.248921628668,-267.51652127223,-262.97298506004
2023,-269.315298086148,-272.24082096724,-266.303291160001
2024,-284.690925305387,-286.822141389588,-282.634205708829
