"year","mean_depth","ci_lower","ci_upper"
2003,-253.8813723864,-256.470883558591,-251.416224866955
2004,-248.719168433871,-251.194550229502,-246.589650548989
2005,-246.327945347191,-248.726181359715,-244.338979018854
2006,-249.974883823099,-251.993422218923,-247.693123234085
2007,-245.885885330126,-247.921479842477,-244.048340378585
2008,-245.403967545727,-247.763070341191,-243.112734704149
2009,-249.185961592454,-251.011285333122,-247.031201266604
2010,-247.211041755273,-249.4420690201,-244.927937922395
2011,-249.266829846342,-251.603122360752,-247.086371387307
2012,-244.881219563352,-247.058716596228,-243.007523792098
2013,-248.846400395323,-251.318328661131,-246.401937156647
2014,-247.433293427571,-249.564230045353,-244.945636221407
2015,-242.002167808629,-244.126371319013,-239.907340053233
2016,-250.916784481922,-252.983550811264,-248.480321144389
2017,-245.282426286412,-247.617576726487,-242.829427180506
2018,-245.823318739456,-247.664534777444,-243.764725393354
2019,-241.101423066107,-243.058388255927,-238.633592180831
2021,-247.959426762175,-250.50406303229,-245.341844942208
2022,-243.582343089366,-245.776102321891,-241.21267792948
2023,-243.599773461009,-245.744527645053,-241.377603433233
2024,-245.380561722671,-247.18351048992,-243.438267038303
