"year","mean_depth","ci_lower","ci_upper"
2003,-428.581204802982,-431.420119331766,-425.06728558431
2004,-426.916592285825,-430.489989251379,-423.370747261659
2005,-423.796475074722,-427.9532167923,-420.566340559507
2006,-429.40094623039,-432.917578101582,-425.780307049924
2007,-427.014343828897,-429.813734997024,-423.939816301681
2008,-427.297875871387,-430.991071899747,-423.573414356378
2009,-419.00054714555,-422.384874313989,-415.719025005642
2010,-422.058727879212,-425.531990444576,-418.858641068744
2011,-418.097016232892,-421.867309420045,-414.437562529327
2012,-415.251797592885,-418.662030597807,-411.964665380864
2013,-424.020435468616,-426.909201432407,-420.54916629607
2014,-413.638272611611,-416.889458886669,-410.402224119491
2015,-426.077532978118,-429.682005176992,-422.745095301561
2016,-421.083399795971,-424.277868616774,-417.851808898513
2017,-417.011555041867,-420.349519020229,-413.82635441749
2018,-418.666511650182,-422.151765813386,-415.645247835237
2019,-412.250950411999,-415.121782393355,-408.939657167872
2021,-424.208929038217,-427.830789668999,-420.364654532319
2022,-415.605509598969,-418.638157159099,-412.650367538488
2023,-422.420580172891,-426.321423704908,-418.555383517548
2024,-412.521920954687,-415.76706811785,-408.955353567926
