"year","mean_depth","ci_lower","ci_upper"
2003,-538.852322434883,-543.803526729386,-534.126904965406
2004,-528.378910820654,-535.734463685725,-522.213549075431
2005,-650.51644655596,-654.192589273196,-647.109088975172
2006,-632.604763994278,-639.115898868414,-625.559964745428
2007,-705.626651283975,-708.932834566937,-702.00852939335
2008,-697.118158308558,-701.303607863439,-693.389703653327
2009,-692.352353065178,-695.381181046492,-688.560474905731
2010,-658.333348725405,-662.433467638413,-654.276785274458
2011,-687.482417517131,-690.93278026888,-683.601618719335
2012,-679.666008012453,-683.019024789174,-676.197693297389
2013,-712.973207585069,-717.257968305057,-709.799891779299
2014,-596.969128532749,-600.969700770186,-592.145044510847
2015,-677.871015545359,-683.699424307806,-671.776728432215
2016,-608.875651177854,-613.195012657289,-604.45140027967
2017,-241.193483795502,-245.539694221419,-236.224934002081
2018,-403.010493096152,-409.368703368765,-396.910990701432
2019,-649.258484192295,-653.57354952157,-645.429491328271
2021,-486.920776350846,-492.182230127936,-481.173716072609
2022,-500.266559792699,-506.141675891148,-495.087137721861
2023,-461.553722438148,-467.703146013739,-454.750980886355
2024,-382.474381683855,-387.826997087098,-377.733928061869
