"year","mean_depth","ci_lower","ci_upper"
2003,-258.966814823904,-260.619780358941,-257.049845899188
2004,-259.059023006027,-260.567307410311,-257.494321715691
2005,-258.774195443308,-260.604777931931,-257.241747000651
2006,-259.036913585032,-260.512185779945,-257.618597805667
2007,-258.575277827458,-260.36958587635,-256.857569792249
2008,-258.074297129905,-259.767597495405,-256.334098670815
2009,-258.731361251272,-260.427366522965,-257.213974578454
2010,-258.843006840562,-260.729115288174,-257.139962918072
2011,-258.962617976133,-260.697238745025,-257.304658625045
2012,-258.813610903245,-260.538974672198,-256.987716507383
2013,-259.096462822224,-260.975212756368,-257.431244937507
2014,-259.192480181784,-261.079845057987,-257.379566651052
2015,-259.182436400379,-261.003761828787,-257.366082504337
2016,-259.150896875946,-260.952502115881,-257.374252779184
2017,-259.053855831997,-261.026645535748,-257.440389673134
2018,-259.122110914045,-261.076151704113,-257.12174451739
2019,-259.217812982119,-260.876560825933,-257.478890431242
2021,-259.19360499282,-261.018811179617,-257.107814886645
2022,-258.871045195889,-260.80765406976,-256.983287656649
2023,-258.782428548227,-260.589317169509,-256.947104089864
2024,-258.910377170128,-260.54303636058,-257.022935912542
