"year","mean_depth","ci_lower","ci_upper"
2003,-319.489122469337,-321.37500940082,-317.722357308026
2004,-320.43141215881,-322.295745304103,-318.703329981059
2005,-311.745765049335,-313.709227426139,-310.087087701353
2006,-314.638939534607,-316.665812570518,-312.813588489015
2007,-309.116033139849,-311.042859156262,-307.475107362816
2008,-310.748471617008,-312.274313179531,-308.944407683315
2009,-322.785382493719,-324.206774665334,-321.117296076618
2010,-315.101113908703,-316.820120460296,-313.5420352762
2011,-330.60007042368,-331.972726877242,-328.92878695317
2012,-318.515940693068,-320.291892537847,-316.557856782458
2013,-326.792018983317,-328.234626986756,-325.409017605849
2014,-304.501946060458,-306.502872356497,-302.620075696086
2015,-332.662558062355,-334.022217837421,-331.205246021632
2016,-323.457424711753,-324.849190374514,-322.069275863722
2017,-319.090004541327,-320.943474435613,-317.37972025818
2018,-326.500828073644,-328.192098631639,-324.88925595313
2019,-316.285532502687,-317.866235612963,-314.582501860332
2021,-315.185378263053,-316.641419514385,-313.688024120646
2022,-320.473973099525,-321.850288919124,-319.01929452851
2023,-308.869341262144,-311.047589569954,-306.957053883714
2024,-314.440833789672,-316.035454358442,-312.72517929648
