"year","mean_depth","ci_lower","ci_upper"
2003,-255.089227648043,-257.196080974344,-253.099753251623
2004,-256.751124983682,-258.949682692204,-254.347805783911
2005,-256.294096554256,-258.446689445355,-254.053028905025
2006,-254.907412779285,-257.102160382552,-252.482271081183
2007,-254.62913411044,-256.602853840132,-252.729596018683
2008,-256.716518271553,-258.966612082792,-253.60853233845
2009,-253.417954428706,-255.554831137748,-251.345599249806
2010,-254.284171320006,-256.772131066081,-251.999902723618
2011,-254.153894740685,-256.699552005262,-251.78241160785
2012,-254.525197843166,-256.848419394782,-251.950560258371
2013,-255.309294900846,-257.61243268012,-252.999588352285
2014,-253.934545868491,-256.270604502336,-251.901249859364
2015,-255.936603062498,-258.170676388846,-253.915624103647
2016,-251.969162459534,-254.764881842223,-249.877851367116
2017,-253.805166144364,-255.937186563061,-251.490551941362
2018,-253.280631510709,-255.256557123587,-250.877923650074
2019,-250.833822022722,-253.348856603103,-248.326759802976
2021,-256.976009283479,-259.177331068087,-254.777261094525
2022,-256.747225601607,-258.953427367793,-254.475025150591
2023,-253.674673630865,-255.762481605915,-251.433366030802
2024,-253.033005595856,-255.374210012533,-250.954638028262
