"year","mean_depth","ci_lower","ci_upper"
2003,-166.064783859853,-167.650710964152,-164.627457501068
2004,-167.341703821467,-168.742383728736,-165.829969802125
2005,-166.633089870275,-168.189598532655,-165.136633385715
2006,-166.603397813559,-168.141815984241,-165.321250404126
2007,-167.024405446043,-168.465861252687,-165.191063757274
2008,-166.148335927149,-167.345206317987,-164.654105913201
2009,-167.6837866206,-169.127180701092,-166.235585362632
2010,-166.515646656212,-167.69758731448,-165.284819450803
2011,-167.180454386619,-168.755315386921,-165.530377586483
2012,-166.299879344111,-167.927591976728,-164.759383046376
2013,-165.992642503628,-167.420816043971,-164.595634097039
2014,-165.843612398528,-167.333469378774,-164.445083608962
2015,-166.711450312234,-168.166161268788,-165.220390424479
2016,-165.597752747019,-167.14609615182,-163.985407842606
2017,-165.965758146686,-167.572662672336,-164.555832939473
2018,-165.702143810051,-167.24502367675,-164.239396373693
2019,-166.03414057908,-167.305797806556,-164.673077279817
2021,-165.953912566107,-167.456258515966,-164.545511177243
2022,-166.073467587955,-167.541498100715,-164.650699484386
2023,-166.794827168903,-168.292385813567,-165.304469198202
2024,-165.773556324235,-167.187055251145,-164.397119483249
