"year","mean_depth","ci_lower","ci_upper"
2003,-174.785323278902,-176.115489001996,-173.527983338557
2004,-175.131320298528,-176.489042156348,-173.767217448776
2005,-173.066935316656,-174.233750905428,-171.899151211526
2006,-172.395471476444,-173.741607391032,-171.127024825855
2007,-173.309361360345,-174.554062858365,-171.872719512914
2008,-177.170513801552,-178.435539596903,-175.856873928845
2009,-168.830440125181,-170.126379434374,-167.454430374477
2010,-175.908831189029,-177.006161363694,-174.798796714137
2011,-174.834732243432,-176.248591428199,-173.477075183464
2012,-175.045845494374,-176.588437249314,-173.535170004526
2013,-173.89468235065,-175.106549172999,-172.599404032815
2014,-173.608544629265,-174.880409334599,-172.315344392874
2015,-174.281842834951,-175.526592466326,-173.156498963262
2016,-172.042560786265,-173.463772387651,-170.761514208025
2017,-171.802442617083,-173.051398662097,-170.654989830958
2018,-169.769855838107,-171.026185127033,-168.553843131881
2019,-172.368498739734,-173.602680687396,-171.092168212068
2021,-168.219940182546,-169.636888748382,-167.042594195728
2022,-172.845020636962,-174.079078247902,-171.772156088526
2023,-172.425515049136,-173.742107644481,-170.976807412894
2024,-174.058062826531,-175.492473883411,-172.729303679648
