"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,385.929060230068,149.587617682058,995.67893277525,5.9556535707875,0.483565660212926,320.418796013627,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2004,2172.40732131763,865.54202928986,5452.48342658354,7.68359119630675,0.46951641429311,1808.54103007235,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2005,522.858686093956,196.872909466068,1388.61769435585,6.25931122888156,0.498352442007913,432.673231485405,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2006,539.535617583006,216.796008336995,1342.73082273813,6.29070880213531,0.465188111445327,448.116913734568,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2007,820.081597666195,333.545468340676,2016.31828540937,6.70940384465659,0.459000603499074,680.179204250282,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2008,1139.72345465811,585.488006995516,2218.61001007277,7.03854092832713,0.339850749354807,947.682696184074,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2009,1984.51355933927,959.177077551003,4105.90928346285,7.59312910482224,0.370952428001219,1651.75786990732,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2010,647.824350371686,306.218982954768,1370.51068775997,6.4736195953665,0.382312697934744,537.738682624646,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2011,682.439648388591,329.89860918494,1411.71820894722,6.52567409587973,0.370868413530204,568.255846819688,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2012,674.164332460309,315.371440851054,1441.14998471376,6.51347389790053,0.387620784078724,559.630443393924,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2013,573.759901296483,229.87794238334,1432.06616921419,6.35221101838748,0.466673134216815,476.917906555581,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2014,1871.19782898676,801.39314031629,4369.118150703,7.53433405504418,0.43265204013586,1548.42592202617,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2015,952.705745156987,446.173316997985,2034.29519936807,6.8593060890892,0.38704721893107,791.429353831856,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2016,1127.29968047704,521.686704661541,2435.95352967278,7.02758038860952,0.393126184780442,935.6825978861,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2017,1419.12412985589,689.31238369535,2921.62645496488,7.25779515032914,0.368425440816366,1182.1940299575,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2018,1947.81473491405,1010.92040005144,3752.99800197448,7.57446337439943,0.334621910161507,1621.93348342961,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2019,780.376116144841,249.575625229026,2440.08958042462,6.65977600364818,0.581650497787824,649.030671027768,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2021,1892.33810100832,895.131528052022,4000.46627373366,7.54556843396835,0.381944654941809,1574.73060324653,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2022,2533.2122470658,1177.05035279654,5451.90294827888,7.83724343925312,0.391066651391556,2108.00192313751,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2023,1206.62026080555,577.808581627635,2519.74875431103,7.09557855751623,0.3756884938482,1003.51883882934,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2024,3606.08341553765,1259.45645483296,10324.9600650467,8.19037753592434,0.53671497150096,2988.52351522207,"index","Coastwide",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2003,338.717761485772,131.161242193126,874.722746045669,5.82516719861936,0.484059800765952,288.350454460617,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2004,1880.00550521025,745.343608256394,4742.0017565979,7.53902998412303,0.472041660068227,1608.97414257463,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2005,463.332028110215,173.695220358392,1235.93825915172,6.13844392042435,0.500591731247176,392.370815202502,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2006,472.864130694863,192.235354829138,1163.16005604977,6.15880809711115,0.459236841323946,402.808422679575,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2007,722.261463738991,293.313798759655,1778.51033333023,6.58238721147928,0.459775892382894,613.812936656086,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2008,993.818925391869,506.212660925715,1951.10895618628,6.90155502244822,0.344189060750535,848.357350424377,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2009,1720.2231760409,827.820991944889,3574.64693959492,7.45020931490239,0.373176437405397,1471.47752176823,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2010,569.032601737468,269.011059567749,1203.6609288867,6.34393772903586,0.382244389465258,484.23390598527,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2011,589.530973123889,283.530113317355,1225.78432395077,6.37932725994389,0.373480802900818,504.806568002605,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
2012,592.064195566988,276.94818790442,1265.72415701584,6.38361506746273,0.387652340573839,503.875701598701,"index","California",4,"blackgill rockfish","delta_gamma","catch_weight ~ 0 + fyear",-183,-850,35,49,TRUE,200,"off","off",FALSE
