"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,1692.34353550136,977.754466309051,2929.18799232361,7.43386955472361,0.279908701118972,961.159900112045,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,8300.40581760908,4314.22675568236,15969.6605298396,9.02405968627727,0.333876695248565,4653.61511588041,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,2693.45434992663,1576.25444003755,4602.49065814898,7.89857979374108,0.273358640187343,1569.20177627868,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,2959.13574425435,1657.65329303937,5282.45827380972,7.9926525263917,0.295665802377379,1674.10487254025,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,2535.39514606176,1203.18348739093,5342.68348430627,7.83810478003634,0.380302167144323,1377.22596738601,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,2143.86177515,1055.93914321681,4352.65928010551,7.67036404956667,0.361322055954428,1195.62676694425,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,1252.53432901608,581.41936614046,2698.29719601179,7.13292424097949,0.391564309328083,685.806311750456,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,866.089698718282,447.558471358695,1676.00752578482,6.76398848139521,0.33683337814839,480.115189993793,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,879.971052946399,391.855129595142,1976.11054581227,6.77988901255213,0.412761058268982,480.002913858313,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,4406.87889797388,2419.24549642102,8027.53653985837,8.390921984994,0.305980618789483,2707.90955566059,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,3879.15578495785,2325.93861177462,6469.58158216003,8.26337282774667,0.260971064385496,2250.5373116816,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,5243.27763038672,3248.76806646892,8462.27238966761,8.56470208375246,0.244224353373601,3393.65409283903,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,3842.11520104272,2280.70997860302,6472.47977891756,8.25377832753351,0.266094818092468,2208.21730477031,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,10804.6394904893,7246.60579716148,16109.643298821,9.2877309033209,0.203800903565353,6842.00011946712,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,7115.13868913901,4695.50958392454,10781.619685966,8.86998000283419,0.212053937104372,4140.91066263233,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,12155.967327381,7611.54816763444,19413.5987068553,9.40557546625593,0.238858265355084,7514.10776169036,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2019,12145.2538975392,6868.72884562738,21475.1805684678,9.40469374673766,0.290800960061363,6823.445670942,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2021,7124.59621922298,4987.38938693006,10177.6435222779,8.87130833254474,0.181962756695955,4360.69460004659,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2022,6252.04901455703,3815.51381292077,10244.522441003,8.74066453133102,0.251960708610306,3683.60271587061,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2023,5690.92899787489,3678.59733627443,8804.08207212306,8.64662878231284,0.222627551257145,3424.01125956666,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2024,9435.43825091373,6384.02100527193,13945.3637313046,9.15222790621132,0.199327375334032,5780.41196055183,"index","Coastwide",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2003,1506.83975862495,851.055391589846,2667.94157067882,7.31776986160261,0.291481195396426,856.684264823516,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,7875.72752164813,4083.91170943979,15188.1549867674,8.97154084312807,0.335072627816552,4446.15928410075,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,2519.81310721196,1467.54308034015,4326.59059917035,7.83194001395042,0.275818898032675,1482.76087706248,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,2570.06309339977,1411.04293711753,4681.09377135517,7.85168572754892,0.305924675460378,1454.84500730796,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,2277.90637963691,1058.40113530109,4902.54337540413,7.7310120455493,0.391077267815786,1242.49898317973,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,1912.52560892813,929.521075060717,3935.09550557202,7.55617995590026,0.368124353886753,1077.52669324189,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,1180.1052180702,546.528088439643,2548.17337877836,7.0733588813406,0.392748634237579,650.904460639597,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,815.916245882063,420.510538815159,1583.12160777237,6.70431170984586,0.338190994015553,455.524093649299,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,779.243787809454,341.018627084677,1780.60912986096,6.65832394660342,0.421633689419025,426.736198869454,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,4093.05968926935,2204.26983801796,7600.31160022851,8.31704805964269,0.315769305305148,2542.38158916689,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,3631.05997908897,2171.94750938244,6070.40295163048,8.19727988989233,0.262198887395434,2125.49538306321,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,4984.57827209153,3051.65263351251,8141.82462242064,8.51410407943738,0.250344145810357,3262.53586345148,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,3632.60524536199,2147.08046042088,6145.93682532269,8.19770536828336,0.268291203058442,2104.80888292454,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,10168.4968040125,6770.49766120126,15271.8946859316,9.22704967123633,0.207513914266412,6512.38870840978,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,5613.47003530847,3677.74037963583,8568.04520835326,8.63292435191513,0.215754238318933,3344.41675062757,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,10984.8338205851,6721.11744905518,17953.3500166454,9.30427085685586,0.250648049645836,6895.3381779838,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2019,9836.81140015582,5332.74810586646,18145.0270294575,9.19388689283286,0.312385799575578,5533.84639882797,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2021,6315.8143347862,4349.0916910919,9171.91761976303,8.75081197893114,0.190355377057935,3913.97094176447,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2022,4772.28994643398,2848.89225532714,7994.24804158473,8.47058154131206,0.263217094812252,2788.30353894354,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2023,5053.91757011339,3203.85705953854,7972.29162563816,8.52791897798399,0.232559520233068,3058.28631228576,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2024,8100.15977436692,5370.65623568457,12216.8661502329,8.99963906569647,0.209663894267021,5009.40855543394,"index","California",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2003,37.4599734718123,10.4604877192694,134.147627736701,3.62327298884197,0.650862931295322,17.1704950859164,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2004,138.294658198372,31.3503535376967,610.054124691365,4.92938661318413,0.757238949672621,61.7270990334962,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2005,65.4454533563651,19.3082552448782,221.827778362124,4.18121702250772,0.622809548941652,30.8658162617902,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2006,54.1092695183505,13.9521928774876,209.84608466341,3.99100551162544,0.691527411158642,24.4260060282578,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2007,63.5494289813946,15.9539058426947,253.137379879333,4.15181801225119,0.705173331490202,29.2638360314986,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2008,54.1316294367592,13.2130889091088,221.767470546466,3.99141866264215,0.71950849681152,24.8003954471124,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2009,19.551330665054,4.12636073509741,92.6372063215309,2.97304334882372,0.793712292944949,8.70252095545549,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2010,12.8782651638307,2.91049431994534,56.9833490116721,2.55554101935522,0.758798679430823,5.74319381973773,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2011,15.1558226181625,3.12483037707817,73.5076569013585,2.71838478935089,0.805629490860893,6.71685628647947,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2012,73.9668135286256,19.8540677623106,275.56516725325,4.30361652678391,0.671036624124597,33.8200110108076,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2013,74.9497017934759,19.7075864199376,285.040373754137,4.31681724580121,0.681550067892181,33.8457316277848,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2014,120.739202830019,41.9915231760522,347.164236908232,4.79363287097792,0.53886964787991,58.0507668072382,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2015,93.1642742255707,27.1912537603033,319.204920394245,4.53436432444424,0.628312033024695,43.0901566201803,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2016,227.534406862261,78.7885669248243,657.099225520361,5.42730146591054,0.541098498607678,112.31200326988,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2017,531.60426908622,221.025035232845,1278.6022117946,6.27589935744308,0.447775258967613,272.829406496883,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2018,301.878206250788,107.402942310495,848.491200043113,5.71002364547106,0.527272988742903,142.144081940541,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2019,826.463808507839,299.386027338888,2281.47730488476,6.71715612744308,0.518082134891707,407.574399674647,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
2021,220.927360727908,87.1276447697467,560.199909537173,5.39783396300006,0.474733079629112,109.474749330555,"index","Oregon",5,"bocaccio","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",FALSE
