"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,7583.67889933308,4446.09258587828,12935.4448962355,8.93375370381557,0.272440100525386,7086.03420524974,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2004,7585.53290225957,4145.85931351584,13878.9826330277,8.93399814669895,0.308236677871883,7079.89498412602,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2005,6225.24346401512,3704.99357811022,10459.8443611958,8.73636783125326,0.264765593103458,5811.91014245644,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2006,6812.4633297092,3487.59769633173,13307.0556467698,8.82650905616203,0.341608632822308,6320.49900163802,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2007,6417.17056058785,3721.32004109263,11065.9866791743,8.76673257688737,0.278014722263506,5976.82737875015,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2008,10298.2639527134,5405.71668057647,19618.9047089398,9.23973061173162,0.328841907137531,9575.06226136696,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2009,3204.19712239698,1636.16977405365,6274.94735692412,8.07221683013999,0.342916272845558,2973.52044446284,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2010,6639.81882687209,3904.80654709663,11290.4937855284,8.80083995698861,0.270860301477702,6188.77146292662,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2011,6321.59299345817,3625.27554640799,11023.3104941596,8.75172651130707,0.283699567181284,5887.85567956538,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
2012,7545.36730630778,4514.43921897967,12611.2159286012,8.9286890520989,0.262072569702609,7049.64122290864,"index","Coastwide",6,"canary rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-275,31.9,49,FALSE,200,"iid","off",FALSE
