"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,1762.48015553,1252.44804885644,2480.21169538595,7.47447727534928,0.174300101381502,1364.98622868384,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2004,1190.66343588633,837.554285361885,1692.64182911331,7.08226593990326,0.179482818427738,932.698006376164,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2005,912.818760924591,662.148543740877,1258.385445641,6.81653735149681,0.16380272134973,729.879362619943,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2006,510.653406953883,352.600456855619,739.553500182745,6.23569109580031,0.188960375334423,400.377274384847,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2007,546.289279883421,371.693664571539,802.897670207957,6.30314865207793,0.19647229358531,420.915498432901,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2008,578.004577628658,403.054949367963,828.892666579516,6.35958178841378,0.183936484454142,449.835334763217,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2009,779.291306799679,555.432440220751,1093.37319334857,6.65838492564766,0.172777635915769,608.259214626742,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2010,570.973633773335,403.524095867678,807.909351146234,6.34734303306158,0.177098575651554,445.169800869103,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2011,1066.81172809158,775.167447026913,1468.18247793914,6.97242978595907,0.162937034446845,835.679553635197,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2012,1901.85343178751,1421.25404954417,2544.96828147086,7.55058418008743,0.148619713444176,1526.5013537318,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2013,2295.49327344767,1654.96488808336,3183.92819472196,7.73870303336378,0.1669254965999,1789.52144050593,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2014,2366.17593827439,1780.90667776296,3143.78548903049,7.7690304028364,0.144978439372612,1868.78430583337,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2015,2540.44125459327,1907.53407881556,3383.34284022165,7.84009306720543,0.146189644692586,2008.19459285229,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2016,2401.14605617003,1738.21057128689,3316.9182596746,7.7837014257622,0.164844850508546,1869.05378515098,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2017,1604.51173227668,1190.72011930776,2162.10162007694,7.3805747726308,0.15217689183434,1269.94591811051,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2018,1556.93096468356,1093.43094357963,2216.90637440237,7.35047183217635,0.18030746920583,1192.35582525793,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2019,913.905181841647,567.716339122353,1471.19718746902,6.81772682629343,0.242915144882519,679.032743139006,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2021,1268.37309940967,950.637663032617,1692.30652420606,7.145490334153,0.147123800619973,1023.90517816238,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2022,952.179493816096,695.619805496633,1303.36396589022,6.85875356094366,0.160181671096215,758.799946177888,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2023,1112.82727064792,819.202502932964,1511.69525222877,7.01465914664245,0.156292584680159,881.581257838656,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2024,1018.7080330024,791.032593506759,1311.91314368356,6.92629046910768,0.129059155545455,830.999555718015,"index","Coastwide",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2003,1284.97601133241,885.112197664786,1865.48479848776,7.15849532893126,0.190197839285289,1009.40861406984,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2004,943.499172166723,638.861039138386,1393.40268594226,6.84959548740146,0.198936575307391,743.720318844965,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2005,778.64511955584,547.659825992652,1107.05257795605,6.65755538309385,0.179544648349614,623.861013021149,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
2006,365.739902341967,235.338245384895,568.39752478964,5.90192243143154,0.224952404004178,281.885100056782,"index","California",8,"curlfin sole","tweedie","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,31.9,49,TRUE,500,"iid","iid",FALSE
