"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,11339.4631247566,7707.65076874998,16682.5700613014,9.33604423266512,0.196980921505458,10247.0499830827,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2004,9558.55797826374,6370.18735608261,14342.754069327,9.16519215557433,0.207048700069875,8646.46880389334,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2005,9081.36340594097,6298.09558734282,13094.618868044,9.11397961516254,0.186726408796899,8216.27704293015,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2006,7847.07182417388,5582.29468490732,11030.685352428,8.96789572515986,0.173748356168663,7117.1097365666,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2007,7951.62610332202,5677.97902049255,11135.7152710204,8.98113172803103,0.171830242054288,7207.73440110248,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2008,5513.06610474602,3834.49622442771,7926.43833671674,8.61487620922086,0.185249764542929,4988.76042928502,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2009,9831.27423047072,6989.3038035408,13828.8384239003,9.19332383144139,0.174078504904314,8912.88040735792,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2010,8034.15628039889,5619.20572645,11486.9734763478,8.99145726710729,0.182407261990897,7266.54255227468,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2011,7785.38298472128,5409.79636048985,11204.1533876331,8.96000327826952,0.185736345832465,7040.75423018093,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2012,9190.88488980574,6305.98229490314,13395.5918534587,9.12596749905008,0.192204280068081,8299.92853806493,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2013,7623.22078577413,5113.27227918823,11365.2260188039,8.93895423467709,0.203758534253776,6899.82029065396,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2014,6340.4223006712,4391.86169378815,9153.51114260015,8.75470065415167,0.187346382300847,5735.59973083333,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2015,9501.86286030917,6743.11550245668,13389.2705505682,9.15924314892425,0.174985772087103,8616.48315173872,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2016,10888.9110701049,7698.84635438553,15400.7988774984,9.29550021736487,0.1768779669362,9862.35507769329,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2017,8377.51740997345,5940.67052554789,11813.9522554881,9.03330689779175,0.175375471910864,7589.403176826,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2018,7338.05442482641,5060.65593323736,10640.3287344745,8.90082902173515,0.189583910577643,6629.40468323574,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2019,8355.0486298075,5078.22350561485,13746.3106004028,9.0306212614563,0.254037568848651,7530.87330755165,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2021,5663.29883935257,4021.22879555334,7975.90870215551,8.64176183522345,0.174706796902086,5136.4563371357,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2022,15225.3129296994,10934.1389044524,21200.5861488442,9.63071464604171,0.168916095080316,13820.9656304452,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2023,18120.2430595579,12853.4184042016,25545.2050351154,9.80478499338989,0.175217461892219,16428.3885283578,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2024,20139.200533078,13998.8770124252,28972.8524474882,9.91042347000691,0.185560082171781,18218.4535170195,"index","Coastwide",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2003,1629.63985092677,1047.39074652026,2535.56378319337,7.39611431903601,0.225543415813159,1433.45601327053,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2004,1459.49335418849,915.186479449389,2327.52657382125,7.2858446367987,0.238125186632303,1284.22614575251,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2005,1309.511151052,848.177724782058,2021.76902861976,7.17740917941514,0.221595390475143,1152.46782793735,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2006,1175.18166016974,773.951164957023,1784.41741149909,7.06917801902801,0.213100467709668,1035.75412883803,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
2007,1228.54871722999,811.708106244809,1859.45161689965,7.11358884703983,0.211456970557564,1083.25501221938,"index","California",9,"darkblotched rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,33.5,49,TRUE,250,"off","iid",FALSE
