"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,279174.261685318,248135.555792315,314095.527900788,12.5395914596801,0.0601342620859763,243138.745308989,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2004,292536.89134834,259066.664274498,330331.318540758,12.5863460619689,0.0619936714877345,253886.42922998,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2005,313814.941907176,280925.102149091,350555.422106564,12.6565587341678,0.0564884674657834,273656.95543553,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2006,291717.132027466,262218.297681653,324534.503773053,12.5835398857989,0.0543924549402286,254665.694720297,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2007,348289.034286896,313569.01918338,386853.432524715,12.7607879723296,0.0535791481114015,305237.666172417,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2008,300586.787021793,271276.963759624,333063.358126293,12.613491799985,0.0523459697894401,263322.694326713,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2009,275534.21879353,248335.398387678,305711.977507301,12.5264671060093,0.0530272915803457,241498.435495182,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2010,242451.9502487,220173.753489022,266984.357798711,12.3985588264224,0.0491777017233888,213187.696800835,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2011,245427.179329159,221690.886006984,271704.901533794,12.4107555603386,0.0518970123724765,215245.492190436,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2012,255993.280835355,231950.894408537,282527.73070763,12.4529064763804,0.0503200624835916,224623.53356304,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2013,282835.334449178,249628.839072966,320459.073198653,12.5526201502108,0.0637204056988644,244740.216542041,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2014,291347.00922977,262201.096805634,323732.741095491,12.5822703073041,0.053778168754455,254427.837631376,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2015,277036.897334412,249973.816507653,307029.926401623,12.531905979672,0.0524471485664238,242513.752211057,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2016,289359.958789999,261738.617153595,319896.187507614,12.5754267242082,0.0511872078705123,253729.038068799,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2017,344744.750182494,308471.163267018,385283.802607871,12.7505595676426,0.0567234523561642,302006.621973149,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2018,324320.698743864,293496.114947338,358382.650661598,12.6894881161725,0.0509542194521184,284329.295794299,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2019,304557.515640968,263869.693709042,351519.263275742,12.6266152338159,0.0731669352635716,261878.025613411,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2021,332195.251957373,299689.3550744,368226.910814453,12.713478183336,0.0525399701618478,290402.743254514,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2022,421648.248293567,379485.195146122,468495.866408111,12.9519267105854,0.0537539709057388,368209.665504691,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2023,394125.434640421,353530.857802826,439381.329244916,12.8844244996452,0.0554594103590141,344221.404544441,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2024,358958.118194562,323372.148070962,398460.19945263,12.7909609982541,0.0532672533224016,313923.016488028,"index","Coastwide",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2003,146911.831813619,124229.175343064,173736.050869133,11.8975879022379,0.0855651310542099,126220.089076135,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2004,160040.939350393,135633.020939886,188841.198777901,11.9831849324265,0.0844284852339542,137320.461306903,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2005,178527.868990833,153282.846357135,207930.637797191,12.0924999968152,0.0777870590111717,153825.932660985,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2006,160437.6766821,138675.738165507,185614.646366112,11.9856608388648,0.0743723722049242,138559.039317429,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2007,193919.362273798,166761.002288476,225500.677908046,12.1751976932531,0.0769813895058762,167761.532237288,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2008,168487.129761734,146116.555980414,194282.658148284,12.0346146446214,0.0726823221836635,146113.608554428,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2009,152281.875306047,131647.574039457,176150.375089907,11.9334885252751,0.0742895221638438,132139.920077297,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2010,130824.693828569,114272.070915727,149775.00957308,11.7816134909248,0.0690196457745001,113877.243565942,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2011,133283.292784552,115426.720557258,153902.28579422,11.8002321628619,0.0733896186120795,115498.730703481,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2012,139547.933279808,121564.299608518,160191.978610316,11.8461634289645,0.0703915038183835,121162.608721239,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2013,167724.528550818,142267.602328724,197736.638680347,12.0300782015809,0.0839878264808865,143945.426707243,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2014,171921.689939955,148755.683928418,198695.382194828,12.0547943610724,0.0738451462642658,148748.507528357,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2015,148805.282857627,128940.399755215,171730.599939006,11.9103939038264,0.0731076416593101,128866.004086452,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2016,153305.767337657,132897.046683095,176848.612407708,11.9401896854025,0.0728889225381154,132685.366624724,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2017,197777.883462318,168368.584502838,232324.167256837,12.1948998792919,0.0821387892880102,171328.659240066,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2018,174632.567047656,152184.514997089,200391.830103329,12.0704394287494,0.0702004994735673,151480.619952077,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2019,162192.172109959,134046.822371149,196247.104022427,11.9965371587711,0.0972429706333425,137922.19246882,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2021,179859.218087784,155677.238928087,207797.482495771,12.099929702121,0.0736694865604534,155390.282669112,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2022,237066.24871642,206082.520954367,272708.262788185,12.3760949115049,0.0714620053707673,205228.196019934,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2023,223250.639283513,192333.434016342,259137.721922349,12.3160503622666,0.0760547556682598,192888.188629026,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2024,202608.175327537,175100.89211468,234436.685123619,12.2190292220435,0.0744460663801232,175072.865797354,"index","California",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2003,84202.3228189803,71331.4626948085,99395.56684049,11.3409777867737,0.0846367622031161,74548.4451257661,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2004,81407.0970899255,68104.3643413442,97308.2345118582,11.3072177360269,0.0910328761680147,71741.5476738725,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2005,88712.0328113749,74915.1441408763,105049.851478994,11.393150816497,0.0862462153876289,78851.2529555454,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2006,89580.9775885566,77017.9563158412,104193.254788701,11.4028982727243,0.0770954983662643,79835.8259379866,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2007,106972.880774474,92495.0515022094,123716.858743698,11.5803306306141,0.0741953459171285,95771.3279190544,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2008,82884.5898587222,71512.2290546107,96065.4607871668,11.3252044355294,0.075297651848484,73804.3062951,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2009,87040.8577638578,75062.5878934208,100930.585167477,11.3741329168649,0.0755398406678062,77541.4276845566,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2010,75220.2557755466,65010.2306780645,87033.7917574531,11.2281758323848,0.0744278476521977,67142.5529906729,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2011,73030.8260461299,62796.9650638034,84932.4732104665,11.1986369056022,0.0770294161087065,65111.4491281606,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2012,79980.7356248426,69432.0994052234,92131.9983968354,11.2895410799684,0.0721628122094319,71427.388129705,"index","Oregon",10,"Dover sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
