"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,37517.0544572425,31275.591831855,45004.0844219643,10.5325508941014,0.0928372342042991,29797.2672494169,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2004,36742.8301317353,31077.8213529055,43440.4828690907,10.5116983871506,0.0854345714958013,29394.4752497761,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2005,29224.7905220595,25455.0379987031,33552.8228675901,10.2827726185493,0.0704623454939882,23753.8003210738,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2006,19590.0765104764,16526.3479312885,23221.7728491448,9.88277841651934,0.08677056683279,15642.8346810492,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2007,19110.4121527077,16139.2077917025,22628.6108562354,9.85798860438572,0.0862167614491695,15436.6427288501,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2008,14260.5096307171,12075.5841089676,16840.7700275761,9.56524943180914,0.0848528760511315,11425.2992342013,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2009,15762.5925577268,13339.8274627881,18625.3776395526,9.66539485227667,0.0851472108829777,12667.1939794044,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2010,17465.4302615365,14937.5005625963,20421.1710615376,9.76797879258228,0.079771183286183,14205.8163854248,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2011,17895.0569429419,15461.5744289911,20711.5429584378,9.79227980525385,0.0745761914895689,14488.4289405488,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2012,18206.350539436,15811.5907925959,20963.8109354588,9.80952574294096,0.0719539744194803,14794.9305704192,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2013,27829.378178332,23405.7495447626,33089.0616560459,10.2338475106962,0.0883233232119368,22067.4739410623,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2014,28524.8961904535,24850.724869905,32742.2925059835,10.2585325354757,0.0703535042730252,23182.3296407781,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2015,34640.8464895795,29958.0610051376,40055.6045769726,10.452788799144,0.0741008937957387,28058.9893131617,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2016,31066.5307668668,26829.0007990564,35973.3611071579,10.3438863375389,0.0748215976916248,25199.861884563,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2017,32072.6768885936,27994.1817722236,36745.3712764263,10.3757597593813,0.0693930024929308,26138.4452687226,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2018,36498.224552634,31422.0202743785,42394.485900727,10.5050188959939,0.0764068566764763,29738.7984452881,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2019,33223.3262717259,27123.0806957982,40695.5766174652,10.4110075067437,0.103505563246671,26269.027691247,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2021,28530.3306282268,24418.6253365148,33334.3812167322,10.2587230329321,0.0794002239864647,23075.4644608992,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2022,41165.3597498706,34658.7654966099,48893.456505311,10.6253523989114,0.0877804159451148,33305.0649680697,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2023,32674.2338375265,28109.3922406646,37980.3856208925,10.3943420902459,0.0767784757872585,26482.585360725,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2024,25881.7123537993,22254.5187846408,30100.0907207717,10.1612919115651,0.0770379222972762,20923.0586549212,"index","Coastwide",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2003,16427.0009038932,13326.0612896679,20249.5210573381,9.70668165656605,0.106739085947314,13236.3322527419,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2004,15116.5092868768,12084.8005426042,18908.7815073687,9.62354275580952,0.114205653326403,12082.003543827,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2005,14279.7537326861,11889.678862483,17150.2837902201,9.56659799013465,0.0934568243610897,11665.8017290886,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2006,8013.66180277438,6401.896646247,10031.2109110497,8.98890308950381,0.114570224174771,6382.78471817091,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2007,5955.86733337258,4765.48880934144,7443.59227603277,8.69213211910528,0.113765725673801,4763.18399001806,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2008,5607.48332524812,4551.78937969166,6908.02377263459,8.63185729273825,0.106421132983612,4503.9230778764,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2009,5301.13675702481,4343.87589811334,6469.3493957516,8.57567655899965,0.101611186705036,4291.64290339826,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2010,4216.41756621913,3405.7304428096,5220.0775696314,8.3467411285376,0.108944048970078,3410.40680035919,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2011,6265.99771192547,5161.80726100639,7606.39158739148,8.74289310635495,0.0989054219100834,5091.76004072896,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2012,8618.50799667282,7274.18722722692,10211.2686638986,9.06166726244374,0.0865219459777531,7088.55098922746,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2013,12211.3074365418,9802.09482820551,15212.6695286257,9.41011764053204,0.112127693401355,9744.31691236176,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2014,13405.6625524888,11236.3658632582,15993.7644126417,9.50343247522178,0.0900637599570261,10975.0116800306,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2015,14435.0755263074,11964.7343440569,17415.4644355895,9.57741632424874,0.0957658040589383,11814.8308153182,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2016,12839.30979535,10497.6209063595,15703.3557880817,9.4602668215429,0.102738056926317,10475.7408806389,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2017,11650.5280517516,9746.80615885459,13926.0801612785,9.36310678429725,0.0910281254285093,9499.14554919417,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2018,13613.9503408509,11142.5374569425,16633.5221756582,9.51885030634816,0.102208531118435,11110.5730625976,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2019,10451.5298226042,7865.62702769687,13887.5737748743,9.25450364118591,0.145026187885157,8146.50377740853,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2021,10743.7186944268,8851.92491302988,13039.8181772949,9.28207655528648,0.0988213753751318,8757.82249312097,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2022,11914.7393332191,9701.57264838003,14632.7836242368,9.38553151209833,0.104842861231218,9604.0358399802,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2023,10591.3156770768,8519.76102344833,13166.5627078927,9.2677896685629,0.111045968058962,8514.13906959552,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2024,9697.65720058821,7855.45931277283,11971.8722274082,9.17963960960689,0.107489519374731,7776.01578339617,"index","California",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2003,14619.9407855171,10794.6358514281,19800.8225116505,9.59014168305734,0.154766657013913,11390.9080582569,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2004,13375.0202210307,10392.3879698119,17213.6727797911,9.50114408361583,0.12873460657686,10628.9516414017,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2005,9989.4224253252,8182.34987460573,12195.5870771657,9.20928205468847,0.101811766535417,8139.48177784715,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2006,8711.49587991225,6829.6545237505,11111.8593483486,9.0723987979147,0.124170357579535,7030.76951736184,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2007,9431.6933961432,7352.534655801,12098.7991873885,9.15183093491862,0.127058738320784,7660.80829018719,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2008,6289.35875056976,4900.1690406253,8072.3814148911,8.7466143970523,0.127343878474586,5066.65195067408,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2009,7591.92616387337,5986.60184094859,9627.72277312035,8.93484061472526,0.121207017995743,6132.7749539249,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2010,9242.67189256564,7411.54132380654,11526.2102687364,9.13158628869742,0.112651348630531,7542.53305912061,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2011,7715.85575966419,6172.80804127254,9644.62683852874,8.95103268018373,0.113840640204948,6233.23179097777,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2012,5368.91151061164,4251.49894726598,6780.01127750832,8.58838046874673,0.119060134459767,4295.95855394291,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2013,9370.18176464178,7125.67837201391,12321.6768591831,9.14528777361868,0.139710507471937,7348.64278875648,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2014,7434.00270387548,5935.50586633808,9310.81485651423,8.91381971457458,0.114855261887147,5973.99891479516,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2015,12360.9266527767,9718.15979385656,15722.3703824992,9.42229570010893,0.122728858333684,9893.62516835462,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2016,12595.8848352328,10093.4143365554,15718.7953939274,9.4411254392157,0.11300564535542,10217.40855679,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2017,12869.3939229696,10519.8736562589,15743.6586556369,9.46260720724895,0.102851752624419,10534.5374177969,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2018,11789.7891710736,9394.62161830632,14795.6069276395,9.37498911135912,0.115867677624865,9516.25143317011,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2019,12476.390041775,9223.21326594893,16877.0149823146,9.43159334060667,0.154142921374122,9757.47106289187,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2021,10082.312356184,7946.06503125313,12792.8757250089,9.21853791573218,0.121484780903948,8138.89828130103,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2022,13814.7883739818,11187.2178747746,17059.5030823736,9.53349491867209,0.107638597427447,11256.5672923336,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2023,10764.4626184178,8545.55988227747,13559.5159427322,9.28400548922294,0.117776844889229,8682.9995329441,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2024,7314.85545941353,5862.01390765529,9127.76926752702,8.89766255378033,0.112968432965357,5891.31638112875,"index","Oregon",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2003,6470.11276783201,4550.14551834292,9200.22426968629,8.7749488166834,0.179612648994181,5170.02693841803,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2004,8251.30062382755,6042.03843478541,11268.3761812573,9.01812611827609,0.158997510943626,6683.52006454726,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2005,4955.61436404813,3539.28538387246,6938.7209737493,8.50827642778612,0.17173596742297,3948.51681413796,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2006,2864.91882778974,1962.36726812995,4182.58091801834,7.96029529638787,0.193058896019102,2229.28044551644,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2007,3722.85142319193,2663.07983059498,5204.35871277117,8.22224516525793,0.170924876601493,3012.65044864483,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2008,2363.66755489932,1632.59855528849,3422.10538652382,7.76796974042174,0.188800158185699,1854.72420565088,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2009,2869.5296368287,1904.52477675711,4323.49341795326,7.96190340571557,0.209144460576113,2242.7761220813,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2010,4006.34080275175,2957.2689012924,5427.56413553701,8.29563358568558,0.154906995825023,3252.87652594507,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2011,3913.20347135231,2958.08634100571,5176.71211821272,8.27211161967077,0.142764759991599,3163.43710884217,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2012,4218.93103215154,3039.31477155569,5856.3789511478,8.34733706502499,0.167324350198467,3410.42102724883,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2013,6247.88897714839,4443.55075701893,8784.89271425824,8.7399989220192,0.17387557569293,4974.51423994409,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2014,7685.23093408917,5829.69460414889,10131.3668246442,8.94705570550028,0.140990249420609,6233.31904595227,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2015,7844.84431049535,5886.77400399811,10454.2117998949,8.96761181927172,0.146506977800785,6350.53332948883,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2016,5631.336136284,4132.71286379357,7673.39704571402,8.63610201736113,0.157866512723305,4506.7124471339,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2017,7552.7549138723,5616.20212652403,10157.0608578377,8.92966766494179,0.151154169683966,6104.76230173144,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2018,11094.4850407095,8321.80557974429,14790.9726007212,9.31420342065363,0.146721519300982,9111.97394952033,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2019,10295.4064073467,7568.33138863747,14005.1205014052,9.23945309486987,0.157005536522573,8365.05285094664,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2021,7704.29957761608,5569.66945269889,10657.0475116603,8.94953383870532,0.165535108973082,6178.7436864772,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2022,15435.8320426697,10949.3402182173,21760.6637569893,9.64444684171399,0.175213608534426,12444.4618357558,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2023,11318.455542032,8771.69819970044,14604.6333264556,9.33418990623265,0.130055554212374,9285.44675818549,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
2024,8869.19969379752,6769.60681539733,11619.9810939597,9.09033984505459,0.137829858331577,7255.72649039622,"index","Washington",11,"English sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,31.9,49,TRUE,500,"iid","iid",FALSE
