"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,3331.53246680955,2334.82529176457,4753.72123839633,8.11118767735794,0.181378502040047,2581.7229870037,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2004,1951.43589000977,1346.29771050225,2828.57350429392,7.57632073443347,0.189394840906715,1502.5647318376,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2005,1763.84247279787,1171.83482961256,2654.93070373608,7.47524993144416,0.208638477456255,1367.59888585396,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2006,997.051145825666,677.620731952375,1467.06105719053,6.90480206837089,0.197051748091208,772.213130708157,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2007,390.760862986707,222.359418665249,686.699277047442,5.96809576926502,0.287658700882169,292.003407203385,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2008,200.77829659324,116.561067005898,345.843817480181,5.30220129728098,0.277446925347053,151.702429363694,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2009,468.553645472348,301.886299919775,727.235779642103,6.14965059986685,0.224289908988961,355.674924726304,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2010,709.861731478245,501.198451096335,1005.39751612368,6.56507020667337,0.177589015304436,548.032435982526,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2011,1135.9531415094,763.08086147503,1691.02595131369,7.03522734975905,0.202995233017588,874.978777595084,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2012,803.053439075335,534.490664207014,1206.55957006753,6.68842126101681,0.20771146833286,616.383775674559,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2013,1427.03371764312,921.206080112511,2210.6076753658,7.26335324553905,0.223304857057378,1094.00338159617,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2014,2106.47618404697,1585.61177161595,2798.44158159532,7.65277177541971,0.144924187401097,1642.04544136081,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2015,3371.52352812084,2599.20823566863,4373.32059227962,8.12312000668235,0.132736037929664,2658.0710532396,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2016,4046.51075321422,2954.00664469505,5543.06446983928,8.30561024634338,0.160560365571946,3154.07464642728,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2017,2602.14779713852,1950.64186465755,3471.25388869963,7.86409245881924,0.147032650769825,2061.46061384991,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2018,2066.99677881027,1512.87654612631,2824.07424092311,7.63385200129171,0.159229398456432,1618.14708763956,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2019,1619.25378853566,1007.16208293945,2603.33751250316,7.38972069774574,0.242264074992652,1234.19228295637,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2021,1055.42329155543,717.802291787666,1551.84559467414,6.96169718966441,0.196688827551226,819.977726761597,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2022,1146.18648808762,692.69368217339,1896.57203361901,7.04419561360601,0.256947440449241,873.090086265143,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2023,1319.03353975543,948.827696358926,1833.68327640131,7.18465458056342,0.16807827307527,1033.65598507335,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2024,1350.75395005826,934.99617132112,1951.383641518,7.20841819706434,0.187695164569105,1043.50471654866,"index","Coastwide",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2003,5.46044969362413,1.0804448876694,27.5965125078396,1.69753114783492,0.82662654583058,3.3565119206684,"index","California",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
2004,3.80689431716069,0.790435346322743,18.3347624944305,1.33681371687863,0.802047967865091,2.35165940643018,"index","California",12,"flathead sole","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,41,49,TRUE,500,"iid","iid",FALSE
