"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,16715.4601432264,12915.9539480403,21632.6729658389,9.72408932723547,0.131569132338525,11741.6529249513,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2004,12105.7664772377,9134.38460544971,16043.72799389,9.40143718642894,0.143694521317613,8348.96889199389,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2005,13817.8247788926,10667.8774827575,17897.8697429532,9.53371468832661,0.13200359276361,9627.79239089711,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2006,20598.5565821388,16060.6666804265,26418.6127332235,9.93297628349453,0.126965488631961,14501.7240544909,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2007,12231.8698353753,9544.13479104213,15676.501112494,9.4118001062324,0.126593152421725,8544.84099924546,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2008,12243.9200180735,9435.6444491079,15888.006189461,9.4127847677076,0.132928467155847,8495.03771562975,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2009,9674.1125537966,7499.9077021336,12478.6140603971,9.17720878798515,0.129881363599849,6724.06198951472,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2010,9548.42724923332,7554.75840650551,12068.216881084,9.1641317339684,0.119491398607875,6705.25394213861,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2011,14902.6092484479,12017.484233723,18480.3872501627,9.6092915939478,0.109784520440667,10591.9404492446,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2012,16979.5791564167,13382.2649200381,21543.8948527557,9.73976667489487,0.121472170346635,11938.7750920268,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2013,19491.7671454613,14916.6122040826,25470.1926452775,9.87774745773265,0.136490606938453,13423.8447734595,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
2014,16550.7943139374,13177.2487631312,20788.0110140055,9.71418937445334,0.116299244934089,11700.2346828587,"index","Coastwide",15,"lingcod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-450,40.1667,49,TRUE,500,"iid","iid",FALSE
