"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,164585.314335221,142856.639944737,189618.947395812,12.0111843429241,0.0722398245707513,152171.815845756,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2004,156758.612205986,133963.897168498,183431.976973905,11.9624623992888,0.0801733001280336,144964.241900402,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2005,152129.946118099,132710.846101241,174390.573082777,11.9324903432738,0.0696759702601586,140675.796357078,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2006,137426.86691295,120163.024047091,157171.0091293,11.8308471775953,0.0684923524800738,127048.574705314,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2007,145623.908079199,127551.857998485,166256.47745963,11.8887826051054,0.0676054845201539,134622.954455088,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2008,173454.557585343,152032.434746248,197895.163603368,12.0636709281285,0.0672572382018377,160392.524430842,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2009,188971.752732685,165183.5021516,216185.774400699,12.1493528264312,0.068644402815972,174693.791798377,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2010,171828.587880285,150716.011211543,195898.653206076,12.0542526767861,0.0668890108449969,158868.099055824,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2011,171523.60203459,150211.044700896,195860.072163819,12.0524761573121,0.0676949216695097,158566.439859411,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2012,179671.093207272,157221.194562868,205326.653470933,12.0988831984368,0.068100344770104,166050.215307083,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2013,167267.556058748,143389.68769184,195121.66990694,12.0273499414427,0.0785874898641232,154576.209612488,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2014,166959.127941111,145637.576489337,191402.185306875,12.0255043185769,0.0697093711532099,154344.829155426,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2015,165495.069103967,144670.803120618,189316.830396607,12.0166966794217,0.0686137926396194,153004.926930303,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2016,166904.237011293,145942.956417993,190876.113627141,12.0251754958543,0.0684728811524382,154253.2648285,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
2017,200221.126196365,174911.417777618,229193.153224045,12.2071776657522,0.0689516369662267,184981.200759949,"index","Coastwide",17,"longspine thornyhead","delta_gamma","catch_weight ~ 0 + fyear",-300,-1280,31.9,49,FALSE,500,"off","off",TRUE
