"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,6698.29511153634,4859.93344729687,9232.05181465748,8.80960831203365,0.163690910514357,5237.48412571548,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2004,6229.46499248145,4177.2636761024,9289.86942207109,8.73704573208776,0.203898667027751,4704.04770177142,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2005,1630.54398977088,983.829044916879,2702.3736657445,7.39666897417907,0.257768423831315,1212.14551602131,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2006,1339.62417256832,588.341017256929,3050.25974917819,7.20014438537379,0.419822838968913,939.7750017227,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2007,442.681001329059,250.827939841997,781.278469460551,6.09284942336443,0.289843192228373,334.360092855197,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2008,972.40672649561,488.969079001307,1933.8131639432,6.87977415983434,0.350758948076417,691.67299018849,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2009,908.162585973551,485.140533339692,1700.0419999635,6.8114234220143,0.319896089178821,659.077928977815,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2010,4918.57364784982,3108.6712587067,7782.2209928326,8.50077385848101,0.234097767217958,3857.81080966577,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2011,5782.0044398551,3417.41889375949,9782.69752167438,8.66250569045132,0.268303325421387,4433.06156719629,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2012,3299.54683880434,1731.87529683217,6286.25476752138,8.10154041645066,0.328873558149165,2544.33794673873,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2013,2810.002461194,1608.39207168662,4909.32153354638,7.94094063819716,0.284673798551496,2085.35091113186,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2014,2488.06710734432,1559.7639932852,3968.85551743647,7.81926142590059,0.238255206290012,1894.20534898321,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2015,4168.83170474482,2937.79102293177,5915.72295198249,8.33539110881096,0.178563425853764,3185.65185661094,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2016,4103.24378733253,2473.31165587466,6807.31420898467,8.31953310752634,0.258280166643668,3110.48827578386,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2017,2490.0683365764,1423.16715026088,4356.7899383314,7.82006543349036,0.285426356515736,1836.81196968253,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2018,606.928288459878,226.786897760665,1624.26467741351,6.40841064315754,0.502254046886687,420.135256694266,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2019,1077.14250990111,453.530364717842,2558.23220868107,6.98206698957366,0.441337071856457,768.900180108454,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2021,195.063730005618,61.6037653760277,617.65475748843,5.27332632571118,0.588073729873205,130.769491253015,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2022,1320.46832315816,680.324537422462,2562.94826447126,7.18574174292856,0.338359175437307,959.268942292081,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2023,1759.9736465017,1024.20958980803,3024.29040618635,7.47305411434151,0.276218163399461,1321.54027458535,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2024,1137.64442271071,473.388265783551,2733.98165115602,7.03671510778614,0.4473547499018,781.935870772595,"index","Coastwide",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2003,45.4568892825157,13.6159780407749,151.757646571916,3.81676438850978,0.615072745693595,32.5609692063059,"index","California",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2004,30.9000888076138,7.35879210518914,129.751659602549,3.43075905793238,0.73208654144715,20.9008061414408,"index","California",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2005,3.40608357357951,0.755422314543715,15.3575094180473,1.22556311910315,0.768402613561271,2.27238712951783,"index","California",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2006,1.9611276265537,0.364589179102486,10.5489185858449,0.673519627479767,0.858436041043833,1.30000035948731,"index","California",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2007,0.700237061539789,0.148783439050628,3.29560833841882,-0.356336341928309,0.790283459170313,0.464684220809225,"index","California",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
2008,1.90038753596125,0.401653083415146,8.99152262477237,0.642057831669492,0.792986189261653,1.26155397681087,"index","California",18,"Pacific cod","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-300,39,49,TRUE,200,"iid","iid",FALSE
