"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,8043.69864026627,4281.59876956383,15111.4318033151,8.99264428627557,0.321721484748296,5140.52472274376,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2004,5308.63570567294,2279.71882544448,12361.8810973546,8.57709015197221,0.431274638957392,3186.52024888243,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2005,7555.42805649583,3432.67611151479,16629.7347207901,8.93002153180409,0.402520706825199,4448.36963027371,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2006,5717.5238993067,2606.77443243948,12540.4327786625,8.65129110591561,0.400732985772267,3504.22136892062,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2007,4471.18417498627,2270.82400354671,8803.62718353504,8.40540856862785,0.345674988013508,2727.0844878284,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2008,3755.26515215462,1752.74580683298,8045.67114524591,8.23091417479569,0.38877005447952,2349.5160390764,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2009,3995.15859844104,2126.46876474647,7506.00831355282,8.29283855664669,0.321751080943099,2617.36776688309,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2010,7305.39429315423,3902.88644910212,13674.1835752685,8.89636829851929,0.319851094174283,4641.41187351296,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2011,6868.69309136402,3429.59284571165,13756.4273386983,8.83472913296587,0.354359727629838,4137.51639263298,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2012,9007.2638538477,4791.53942404428,16932.0952939908,9.1057866256644,0.322036327697996,5578.59729434719,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2013,5963.46630312255,3257.16404041997,10918.3725189023,8.69340718548252,0.308574555833314,3786.29268637664,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2014,4582.7156453354,2392.48299364295,8778.02799092167,8.43004703705409,0.331618349660636,2723.35369141288,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2015,5652.52429147738,3175.00315720008,10063.3068012185,8.63985750161788,0.294287854495048,3761.875362752,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2016,12214.4948631763,5495.60446933459,27147.8570910735,9.41037862902392,0.407494612665033,7330.38754163142,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2017,12767.0416937625,5891.90943622485,27664.6060796734,9.45462226155971,0.394541359345807,7637.10516012311,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2018,11450.113284634,5386.39736636912,24340.0338507382,9.34575490278794,0.384763628539218,7063.76501386849,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2019,14327.1672581634,5307.792978563,38672.8952075599,9.56991282215784,0.506632487676676,8831.36866883457,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2021,4948.60308598159,2981.40692289182,8213.79742381283,8.50686061088325,0.258530271484223,3167.64740017645,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
2022,11251.6468797442,5906.89093542008,21432.5198976194,9.3282697862293,0.328778940731288,7024.83900519101,"index","Coastwide",19,"Pacific ocean perch","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,35,49,TRUE,500,"iid","iid",FALSE
