"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,83826.6262981651,65459.1511635756,107347.913188986,11.3365059722577,0.12618823278952,68242.4232921611,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2004,68024.382210102,54800.1031713308,84439.9245125302,11.1276214818035,0.110294948216319,55405.7768114875,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2005,61316.5904797595,49622.3657087704,75766.7276511574,11.0238057293486,0.107965655691364,50183.8887402537,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2006,42228.8288008963,33624.9317628635,53034.2780907862,10.6508584137261,0.116244649380497,34393.2741935235,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2007,32562.8214726655,26368.0683580857,40212.9320912328,10.3909264709281,0.107663940471822,26631.6224939417,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2008,48692.5473732113,40140.702107516,59066.3352958265,10.7932812660093,0.0985401537311912,40090.2591723516,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2009,58302.7961402764,48449.7631023471,70159.6007929698,10.9734053324282,0.0944520440732165,48302.652644569,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2010,68577.992378025,57010.5046821648,82492.5347498586,11.1357269514272,0.0942548589555492,56511.2847346113,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2011,60946.7484604131,50655.3886082958,73328.9438685414,11.0177557858311,0.0943664751825105,50198.2020686056,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2012,74830.5240679077,62000.9372687764,90314.881983206,11.2229811564965,0.0959590976307167,61684.4782697153,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2013,115483.68724747,90832.9451721237,146824.282698303,11.6568845630166,0.12250594084216,94198.9963936481,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2014,106953.999850202,86333.3619811614,132499.856619196,11.5801541130651,0.109278910690659,88255.1361883544,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2015,87376.0735387022,71729.165983978,106436.177283115,11.3779767660266,0.100677382690648,71749.8861407326,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2016,65585.7418107598,53679.209313154,80133.2505434944,11.0911136008624,0.102212367442087,53524.116057544,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2017,67812.9477014135,56587.4558096605,81265.2876888942,11.1245084247436,0.0923311935054194,56180.4049322506,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2018,81063.8479059804,66820.7822161096,98342.8690803271,11.3029923689049,0.0985849476162157,66913.5496326008,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2019,52110.1957717341,40655.495075392,66792.262603932,10.86111590479,0.126648561249883,42314.5290385432,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2021,57620.9997762677,47397.2608013621,70050.0315647193,10.9616423596901,0.0996562407362057,47960.3220592173,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2022,75210.0492203364,61951.421289412,91306.2426332448,11.228040134259,0.0989478921397351,62153.6051595126,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2023,70726.1174665054,57557.890589195,86907.0016409696,11.1665701962076,0.105116055533529,58748.8309282666,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2024,67914.3232647079,56519.2477130363,81606.80637367,11.1260022377618,0.0937087174063525,56064.9680939062,"index","Coastwide",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2003,41764.9498758354,31156.9955431212,55984.5712888754,10.6398127470417,0.149502069592934,34016.9359646231,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2004,37581.5323082172,28276.251599,49949.0381774479,10.5342680467029,0.14515087201891,30330.6622952864,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2005,34766.204943968,25759.303562199,46922.4256505017,10.456401071618,0.152987468014367,28124.5616713633,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2006,22462.2685832361,16769.6411347448,30087.3170660797,10.0195922286786,0.149118440765107,17999.5184231721,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2007,16225.780445179,12206.8658648137,21567.858119425,9.69435664181324,0.145208175166132,13024.9873407429,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2008,24997.5670432602,19404.0207692783,32203.5502596265,10.126533780845,0.12923615082614,20359.6537925407,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2009,30399.9070504169,23772.4439421269,38875.0248364788,10.3221948298376,0.1254678455645,25039.428204182,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2010,33692.9520219538,26323.7796993829,43125.076600618,10.4250439556535,0.125928831790634,27546.3672784979,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2011,31145.0998577274,24444.4472099453,39682.5191756904,10.3464122039033,0.123601170573412,25463.6431696618,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2012,42253.5702525607,33477.9178119321,53329.6069701129,10.6514441322343,0.118779122166778,34647.6525222371,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2013,70795.8682941295,51102.187913781,98079.0680817034,11.1675559205514,0.166315979033686,57370.0629919024,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2014,68712.4628328053,51398.8978782549,91858.0503366613,11.13768587126,0.148122039177184,56493.6556924056,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2015,43823.9119536771,33960.8195364474,56551.4992022642,10.6879348824117,0.130090201597864,35798.9814274355,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2016,36836.2054034065,28722.642724065,47241.6846025481,10.5142364829851,0.126938785183832,29901.2617078441,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2017,35936.6213283772,27809.4796404927,46438.867939792,10.4895121472478,0.130808480897804,29414.0520542328,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2018,38000.9758811032,28733.3583718587,50257.7578724839,10.5453671194604,0.142631743374787,30844.2278959101,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2019,20832.0875206998,14952.3513253191,29023.9214574391,9.94424974626194,0.169199997112429,16515.2150858632,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2021,23833.1879144128,18377.9427676148,30907.7492157972,10.0788343385022,0.132618700484139,19474.0989127175,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2022,28914.7889260337,22153.2030990215,37740.1414549397,10.2721084707571,0.135906117869089,23435.027736303,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2023,31358.7588902386,22604.3273751786,43503.6947932344,10.3532488974771,0.167019525027154,25527.4152318622,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2024,28207.6873497068,21923.8725457677,36292.5675634073,10.2473498208307,0.128583193429341,22732.1435371677,"index","California",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2003,32650.3117676791,22051.2045670813,48343.9739214096,10.3936096834394,0.200252238438964,26632.4245086537,"index","Oregon",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2004,22949.0048243197,16721.0115758887,31496.7082007213,10.0410298517738,0.16153789993707,19042.5852201713,"index","Oregon",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2005,18477.8472878095,14026.5796802645,24341.7032644107,9.82432784965544,0.140624263816726,15503.673375252,"index","Oregon",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2006,16478.4583364439,11973.5504624131,22678.2849413233,9.70980925154174,0.162938648918316,13780.4230450922,"index","Oregon",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
2007,13016.3255380605,9505.32912368364,17824.1834983521,9.4739596591931,0.160386507596949,10902.7957574666,"index","Oregon",20,"Pacific sanddab","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,31.9,49,TRUE,500,"iid","iid",TRUE
