"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,47464.463341358,35218.5436119193,63968.4396126096,10.7677365698443,0.152252052675084,44308.1104539564,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2004,42036.0857888821,30629.2357745176,57691.0413781972,10.6462837138265,0.161520041713027,39236.3512615215,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2005,42668.1949895153,33602.1526275313,54180.3045728578,10.6612090736589,0.121871455469744,40083.0987587116,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2006,47651.9974875629,37301.7037455694,60874.2399554447,10.7716798281946,0.12494390137396,44554.4890786673,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2007,33973.9789942991,26524.4528447302,43515.7420762552,10.4333501868915,0.126292040814498,31730.055952231,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2008,38764.7569706385,31067.701308722,48368.7662650085,10.5652667873348,0.11293206084442,36307.7378724055,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2009,18098.4124536882,13900.620417175,23563.8786984722,9.80357950366621,0.13464061242753,16682.7722414247,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2010,22442.3276391996,17287.8904434019,29133.5759856929,10.0187040814944,0.133136385430078,20969.8469334932,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2011,29438.6394297261,22007.6614987261,39378.7177944184,10.290063356752,0.148429990239149,27492.7781271007,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2012,32184.593268792,22811.1566956892,45409.7114712875,10.379243147116,0.175634922790779,29980.0492226487,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2013,11770.6267793691,8253.11540339534,16787.3158204238,9.37336245111932,0.181134154106494,10668.3238984107,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2014,25941.2182677848,19481.1701478352,34543.4488847494,10.1635884216013,0.146117367093003,24029.1066756896,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2015,15218.8448772548,11088.7079086283,20887.3063756801,9.63028973347997,0.161537238445382,14086.1014210212,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2016,18970.6791162245,12845.025788173,28017.5900045386,9.85064986177296,0.198951586694386,17405.6535577715,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2017,9337.08221597064,6261.63293511843,13923.0621167266,9.14174908583989,0.203857217100959,8509.32403492403,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2018,24339.3490930645,16148.865160218,36683.9346540226,10.0998496239105,0.209312298430872,22410.8120891783,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2019,24358.2067003675,14032.1130708311,42283.1707999263,10.1006241025445,0.281393094080226,22123.4216422538,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2021,9338.40482703142,6605.27663557504,13202.4454878765,9.14189072723966,0.176669893497985,8488.13328033953,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2022,20374.6660379088,13269.2909319283,31284.7927056481,9.92204754719725,0.218799864996374,18561.3480569526,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2023,10135.5658177667,7632.29547487743,13459.8686311907,9.22380588542513,0.14472814807935,9238.11927847243,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2024,8668.84759302923,5840.26126749842,12867.3898562346,9.06749114202766,0.201514075123895,7907.26167699398,"index","Coastwide",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2003,9310.52226965877,6599.41766011118,13135.3748767511,9.1389004664054,0.175596989697201,8438.80685310691,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2004,10954.2409820034,7748.38023581407,15486.5135473306,9.30148196455425,0.17665776953676,10015.0866037667,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2005,19775.6308954124,14878.7902059497,26284.0978263951,9.89220569581404,0.145162715407051,18481.3342431195,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2006,35756.9853051322,26503.0121403582,48242.1390949926,10.4845009221859,0.15280242563614,33426.164732925,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2007,15496.1176421567,11026.1808835141,21778.1355590304,9.64834479683374,0.173634309264408,14298.7303673823,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2008,18481.4122359802,13818.9369514225,24716.995195573,9.82452076197174,0.14833210759367,17178.7948371761,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
2009,7868.46233222181,5646.52598884267,10964.7417891869,8.97061793886822,0.169300138005647,7191.58152261307,"index","California",21,"Pacific spiny dogfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-700,31.9,49,TRUE,500,"iid","iid",FALSE
