"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,18503.1844754982,15375.6480602592,22266.8881592848,9.8256981300638,0.0944700461218273,16961.6698332218,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2004,23223.3532724847,19583.3216063716,27539.9724346635,10.0529136579383,0.0869812480068673,21363.2160619547,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2005,23474.2139286359,20151.9584946195,27344.1769798448,10.0636578180477,0.0778591141658767,21643.3155312395,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2006,20848.1353017809,17689.8887574997,24570.2362247526,9.94501978926015,0.0838134230331039,19170.8354741838,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2007,18433.7154628902,15709.4823254411,21630.3668527953,9.82193662898315,0.0815917289558235,16961.759161819,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2008,16599.5018482002,14140.9867062255,19485.4480336295,9.71712796474979,0.0817847918605325,15265.6307633632,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2009,16538.0308431156,14158.2009351842,19317.8826476575,9.71341790726499,0.0792711508551486,15252.0577438125,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2010,24668.869744485,21340.839992212,28515.8941584514,10.1132973934955,0.073939882683243,22827.3795921808,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2011,31918.9824115445,27646.172486737,36852.1696331473,10.370956171718,0.0733246134754725,29572.984461602,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2012,38459.5242441313,33164.2945911966,44600.2251312035,10.5573616489189,0.0755792137150635,35544.1806492556,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2013,56781.0303103987,47773.3802978832,67487.0688029013,10.9469575755192,0.0881310631527085,52295.4454785091,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2014,57844.9543334527,50342.4196497723,66465.5923397668,10.9655215089986,0.0708779224590791,53648.6930080213,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2015,52790.3064352324,45714.2311127042,60961.6827340943,10.8740828625978,0.0734288652356426,48885.5000644915,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2016,59410.4727098053,51374.4539893914,68703.4896435371,10.9922257980561,0.0741490534541182,54982.8295031095,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2017,62209.1423683261,53843.279949765,71874.8448796825,11.0382572513399,0.07368725634804,57580.4437970009,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2018,42422.3990880725,36506.7686821509,49296.6101726661,10.6554317821082,0.0766232530638626,39179.1565332556,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2019,45733.5879333059,37290.176794114,56088.7945584522,10.7305882726451,0.104136127007323,41931.6172360238,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2021,51540.2074162849,44440.1848399169,59774.5709222985,10.8501175085732,0.0756228719932383,47600.0453261114,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2022,51195.9472672125,43811.8925985968,59824.5102214816,10.8434156529574,0.0794683341941897,47221.6708544181,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2023,51526.3273740455,44226.5472670195,60030.9672972631,10.8498481671744,0.0779441171934326,47552.3498801217,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2024,44215.0573212768,38082.3125174301,51335.4143876902,10.6968206734305,0.0761827562512127,40866.4133278781,"index","Coastwide",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
2003,7981.7872723611,6357.92583370768,10020.3949727538,8.98491763433411,0.116053233508646,7301.62947814655,"index","California",22,"petrale sole","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,500,"iid","iid",FALSE
