"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,931.405653956079,643.285970520256,1348.57051447857,6.8366949009143,0.188832822575289,712.784435773826,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2004,868.606299501761,531.670060605593,1419.06975667346,6.7668899725517,0.250446878773766,655.02291827722,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2005,511.341547670267,347.248726446236,752.976637379569,6.23703775767426,0.197450793300564,392.373011568894,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2006,411.977728763416,269.388971467705,630.039337068446,6.02096929148895,0.216745291795869,310.1554425807,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2007,472.432751415321,308.718817780071,722.964366781333,6.15789541175769,0.21707772556851,359.205984301503,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2008,459.324180344852,309.352845085698,682.000201391471,6.12975623602666,0.201673969639257,350.014500836832,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2009,393.494185998661,265.205514346362,583.840327741183,5.9750662926496,0.201310454939518,302.042409239457,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2010,367.103563012018,223.454325528463,603.098757016241,5.90564399629066,0.253288819125681,273.436358453396,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2011,643.861088229488,419.951697266923,987.154245676417,6.46748300133043,0.218036304006057,487.733163782532,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2012,433.838592520373,298.743560430912,630.025042509946,6.0726725582909,0.190354013269286,330.835339682909,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2013,661.611479353285,428.14677052662,1022.38246261588,6.4946784944557,0.222051241400287,500.166416090443,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2014,1213.4505283552,812.05921330014,1813.24484797302,7.10122325660196,0.204927233093956,929.617498941893,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2015,593.789696621358,396.680934272131,888.8408122277,6.38652521058154,0.205816508986683,449.512870666387,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2016,398.428325386488,253.027935942392,627.381833863686,5.98752762104076,0.231651052389545,298.073281710832,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2017,808.143931119548,558.227350300504,1169.94735756638,6.69474017523107,0.188765641069831,619.284778102771,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2018,896.464460383227,578.66618935312,1388.79468598048,6.79845864963054,0.223337199755747,674.403507160389,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2019,645.913723408831,378.270578705023,1102.92621624479,6.47066593976864,0.272992865054723,480.268459872312,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2021,934.938145349223,663.771721693328,1316.88245681683,6.84048037239365,0.174769576053393,716.399422747766,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2022,1209.61273150248,822.281160030302,1779.39497015714,7.09805553075222,0.196928695318751,921.191181771533,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2023,1607.1750034498,1058.89992942046,2439.33484170461,7.38223326052376,0.212885245867876,1219.53408884377,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2024,1326.59258900127,898.642130986747,1958.34118667538,7.19036897061517,0.198720023944549,1008.50617814656,"index","Coastwide",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2003,176.343621746802,106.717697571194,291.395650754491,5.17243448787828,0.256253423220111,125.345313640303,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2004,169.756950106729,91.4139719567756,315.240892531882,5.13436770879199,0.315806505042535,118.664210171887,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2005,109.733090028113,65.1130147419876,184.930018903782,4.69805096289158,0.266293931186171,77.9061640657788,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2006,108.938026012154,64.9266700251253,182.783030560975,4.69077915183684,0.264046011216063,78.6724859812401,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2007,95.6433090615695,54.8896195725274,166.65523717394,4.5606257411297,0.283322292499586,67.1970911579575,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2008,84.7866796590332,49.2800134887466,145.876198861941,4.44013845096705,0.276851953559091,59.8273093045702,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2009,72.0311169652332,41.7261516158437,124.346042238149,4.27709820572583,0.278561310679838,50.6684329099811,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2010,84.5616862052066,43.9885631454856,162.557680054655,4.43748128229513,0.333450826561588,58.5485313434839,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2011,134.637160665912,76.9320953462438,235.625520799799,4.90258346132026,0.285546220024975,94.94281612199,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2012,93.6065281022966,57.3590946614667,152.7601186016,4.53910012573416,0.24988658816071,67.2814759346062,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2013,150.447613481887,87.5933139493531,258.404247788623,5.01361494041709,0.275979698827802,107.457247795708,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2014,238.996690327863,142.3377776767,401.294855940569,5.47644970383505,0.264416468340764,172.587820506294,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2015,129.856241809646,75.6286541181084,222.966331128822,4.86642800633849,0.275817707111865,92.0218501289008,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2016,93.4552702125158,52.7945015102261,165.431764306035,4.53748292837896,0.291370599489562,65.9373290651028,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2017,181.582767291005,109.751776794166,300.426128306763,5.2017115678925,0.256887540062597,130.287430116144,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2018,187.820862973142,106.473834962874,331.317798220345,5.23548865204775,0.289591738756252,132.033146898671,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2019,170.240452121834,88.9922871116702,325.6665547013,5.1372118619406,0.330956161820826,121.286321906413,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
2021,221.263099199025,136.646119965843,358.278442735111,5.39935248755479,0.245901441731561,158.250134346759,"index","California",23,"redbanded rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-675,33.5,49,TRUE,200,"off","iid",FALSE
