"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,5770.67661342589,3800.76063699948,8761.59057546696,8.66054461665254,0.213059079978699,5075.98299395028,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2004,3648.07862927651,2189.01598164244,6079.66218474043,8.20195590503993,0.260590761200242,3209.62257064377,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2005,2933.77946709235,1777.58598720708,4841.99471838546,7.98404679128773,0.255634929707817,2580.0734633933,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2006,3318.24423098691,2121.34162296392,5190.4627982992,8.10719107593384,0.228262902244853,2919.68146738672,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2007,3127.61394611256,1980.77261689692,4938.46134204049,8.04802567528651,0.233057046333157,2750.26047407388,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2008,3790.32792867559,2284.25897967785,6289.38571970696,8.24020781904994,0.258377638592344,3332.44052422282,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2009,3852.14600847312,2490.31440624445,5958.69695544732,8.25638567678769,0.222566042627734,3389.31249142731,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2010,3557.84436622957,2270.95850058662,5573.97087222935,8.17691012534371,0.22906178918401,3129.53883920294,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2011,3685.687742132,2418.43021047535,5616.98827349335,8.21221242008133,0.214972564848612,3242.88865922439,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2012,2839.1409149808,1736.10535919366,4642.99075654133,7.95125679066942,0.250952165647272,2495.87724570204,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2013,5521.60481094967,3187.37657654323,9565.27067202318,8.61642382363966,0.280347169816024,4858.06058142017,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
2014,3067.28627555675,1974.39536118948,4765.12722890049,8.0285485003376,0.224764852610932,2698.12437840003,"index","Coastwide",25,"rosethorn rockfish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-675,31.9,49,TRUE,200,"iid","off",FALSE
