"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,563.812656102014,322.300316229632,986.299718534319,6.33472202628548,0.285330883990879,523.576798491696,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2004,1087.37391529286,587.501411192868,2012.56032604007,6.99152081628069,0.314108918883692,1008.51092819587,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2005,1430.47314199522,774.625868271603,2641.60221570629,7.26576053705716,0.312954921478638,1323.43315702013,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2006,868.541384581886,491.565028201288,1534.61717871134,6.76681523518711,0.290424213528262,806.803890231788,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2007,1013.52618433381,597.617050850347,1718.88557207095,6.92119080111216,0.269515480720318,940.063576376801,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2008,1140.49440873998,667.357600641946,1949.07122525609,7.03921713924858,0.273418852760264,1058.02763609539,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2009,1367.84656491991,726.099518321533,2576.78758620892,7.22099293174581,0.323121166374921,1260.24274185194,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2010,940.200290414972,518.432679791114,1705.09425920559,6.84609292747636,0.303721267023382,868.746670217907,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2011,1063.73821406214,582.138914628271,1943.76111890522,6.96954460021365,0.307574782388715,979.309627478458,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
2012,690.906614856228,342.922264976827,1392.01212404318,6.53800466970891,0.357404976047583,634.163630604351,"index","Coastwide",26,"rougheye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-875,42,49,TRUE,200,"off","off",TRUE
