"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,104522.300157463,92548.6607231365,118045.049435013,11.5571557262568,0.0620755688197468,82489.7516439181,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2004,118438.403912999,103260.068262168,135847.823437844,11.6821483062129,0.0699718401921828,91614.5375393267,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2005,104594.84613085,92918.1452711958,117738.917465539,11.5578495572274,0.0603966868609994,82054.2731956406,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2006,98919.9020627614,87824.3659055668,111417.223719301,11.5020657315698,0.0607008472485769,77622.9593508027,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2007,91740.6006600571,81783.9513293825,102909.405484354,11.426720315547,0.0586153659598898,72409.831264704,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2008,68659.4453773304,60978.3825181473,77308.0433565072,11.1369139891656,0.0605313642003571,53887.3583549857,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2009,65080.1025124835,57750.2085996285,73340.3366972877,11.0833741365082,0.0609663733407481,50992.4039754729,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2010,66152.6539419065,59032.4791066682,74131.6253320506,11.0997202887974,0.0581016921434633,52088.7147907812,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2011,76062.9058813033,67877.9360999978,85234.8492532935,11.2393159858708,0.058087634777815,60005.595864131,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2012,66814.896960777,59689.7310016777,74790.5943110009,11.1096813430569,0.0575347656300261,52896.144743777,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2013,75735.6589056326,66148.6231363313,86712.1605547064,11.2350043840703,0.0690548551284439,58677.400184838,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2014,78705.2093641038,70216.670327766,88219.9334165507,11.2734646248972,0.0582273934206696,62274.1284440312,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
2015,77767.8715292891,69094.1604812898,87530.4338321576,11.2614836625256,0.0603369069553809,61085.9562449081,"index","Coastwide",27,"sablefish","delta_gamma","catch_weight ~ 0 + fyear + pass_scaled",-55,-1280,31.9,49,TRUE,500,"iid","iid",FALSE
