"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,61145.5380741162,28744.3749300191,130069.86011961,11.0210121715539,0.385116667976157,53334.208828033,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2004,27327.4376063413,10983.3247798458,67992.9676211363,10.2156465169833,0.465066221461558,23795.4522185794,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2005,8659.76717956385,3574.69167269257,20978.4715636091,9.06644311661816,0.451441413000108,7526.85621772644,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2006,12266.762100593,5434.14158732137,27690.3812708196,9.4146486153983,0.415411597536752,10676.7493958434,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2007,11728.4269221157,4760.79973570999,28893.4644815286,9.36977082541783,0.460008391844274,10177.0209204315,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2008,25269.4492589503,8996.03381075467,70980.7320963252,10.1373514058808,0.526954751482386,21870.2603601045,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2009,6782.75501418487,2902.12180479448,15852.4585379035,8.82213864267402,0.43314124346186,5893.89966076365,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2010,2825.16130561373,1249.52534648957,6387.65466035604,7.94632074128273,0.416233008536193,2456.41771717092,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2011,17877.1110191097,8355.78683059015,38247.8759773486,9.79127645956025,0.388051440816199,15570.4014680073,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2012,10957.4627229776,4793.06379448584,25049.9460206588,9.30177603032301,0.42187046692993,9529.5175419093,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2013,12011.9183098396,5109.44706888621,28239.098974307,9.39365462836744,0.436134624648405,10472.6784205587,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2014,14995.1875219203,7254.78928968769,30994.0978075236,9.61548459673481,0.370449396533203,13078.0241630896,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2015,18583.0792715222,8907.74963201229,38767.4608602205,9.83000672907321,0.375175162840694,16203.1124074378,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2016,9476.82000252783,4606.4741906695,19496.4985459429,9.15660409620423,0.368060880795848,8262.9434657827,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2017,15898.0855618145,7599.87256557622,33257.0213973859,9.67395397604174,0.376571826532026,13862.4857008279,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2018,12025.7972486806,5476.66701363453,26406.5350524932,9.39480939204284,0.401312173351175,10475.2663781734,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2019,12268.4799239669,4915.52195510916,30620.4714411524,9.41478864445323,0.466659300050907,10710.4701133187,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2021,16855.501343051,8228.61693838875,34526.81388049,9.73243237169635,0.365853224361305,14703.2961612306,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2022,10896.2860248811,4553.49393496551,26074.2741358058,9.29617727849273,0.445175100317233,9475.54229723627,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2023,8609.67625197234,3718.2697235491,19935.7579398577,9.06064199531789,0.428389649482027,7489.68041346719,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2024,36346.3794902698,17022.3046183441,77607.5467846498,10.500849876633,0.387032661402246,31649.3484701654,"index","Coastwide",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2003,9179.66107903009,4035.15860522695,20882.9901795447,9.12474556343736,0.419367234613467,7552.55254819378,"index","California",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2004,3944.73970622236,1453.72376758415,10704.214718665,8.28013825042441,0.509322925973395,3235.40989373759,"index","California",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2005,1213.6402787212,460.34357890569,3199.61609899252,7.10137961693742,0.494604239279521,992.677878897648,"index","California",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
2006,1757.14414634383,715.657699688102,4314.29096951798,7.47144512599654,0.458295740889011,1440.19609418115,"index","California",28,"sharpchin rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-475,33,49,TRUE,200,"iid","off",FALSE
