"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,20820.8918032128,12960.2215426246,33449.2380439123,9.94371217521956,0.241877970646657,12019.659554927,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2004,43728.1737979292,25755.5888111447,74242.2624356581,10.6857478826827,0.270076880548158,24544.3780575608,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2005,36757.3283151562,22549.3397360921,59917.5497234463,10.5120928946977,0.249306535245398,21473.5412986165,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2006,26389.0328704157,15425.9053100533,45143.6101699679,10.1807037812478,0.273933729059366,15162.3983205619,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2007,18599.9959766583,11779.2532503509,29370.2701672873,9.83091664339257,0.233076517278443,10807.1984622621,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2008,22538.0655812309,13946.7532770917,36421.6954334616,10.0229609623151,0.244881511054805,13057.3998752528,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2009,18520.5829194113,12365.3466775792,27739.7796130324,9.82663798283504,0.206118464141754,11014.5114673079,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2010,15657.7720870384,9717.61875202876,25229.0023909875,9.65872269167399,0.243385497057592,8818.05507121967,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2011,39669.1523530335,22174.2618035823,70967.036573635,10.5883291458244,0.296761386111079,22362.4879097556,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2012,29952.2806085899,17769.8684067769,50486.536710287,10.3073607478429,0.26638307448428,17355.2432408045,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2013,30937.0613059015,17854.3167954423,53606.1823709451,10.3397101391992,0.280469206723051,17546.5799620035,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2014,37297.5569255591,20014.2720139571,69505.7882517645,10.5266831055125,0.317598798590446,22177.0682993249,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2015,26137.6177581391,15415.9574634172,44316.096725863,10.1711308490597,0.269378622455745,15278.1449752658,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2016,48134.1802495061,25852.0700839728,89621.4229949937,10.7817478118293,0.317149631005583,27995.5726148476,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2017,38192.3247780881,24072.0491248829,60595.3263217288,10.5503898523676,0.235505956717973,22263.6687966368,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2018,50264.2439808127,32289.4225699362,78245.2587218147,10.8250492480582,0.225797142490762,29582.8706779812,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
2019,52025.9548700103,29065.2407196662,93124.9806682292,10.8594980051541,0.297046143465148,28842.0581230753,"index","Coastwide",31,"stripetail rockfish","delta_gamma","catch_weight ~ 0 + fyear",-55,-500,31.9,49,TRUE,500,"off","iid",FALSE
