"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,2436.56794728561,1030.01937718818,5763.83657746954,7.79834574914512,0.439300345356294,2291.25246867834,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2004,1208.98878510952,396.786071737898,3683.73283900473,7.09753957440098,0.568450394936609,1133.3052525888,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2005,1265.83033049762,540.857650316216,2962.56588895598,7.14348357357856,0.433848509116788,1187.96398293425,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2006,1405.49040763277,662.834816951969,2980.23464583769,7.24814156544445,0.383484470683031,1323.55798101695,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2007,1749.61533519944,834.821973874081,3666.83426762166,7.46715123429867,0.377523639697943,1647.84492702786,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2008,743.574468255465,296.657759084199,1863.77390413871,6.61146891993703,0.468829927047996,697.150847528841,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2009,2372.26385986761,1189.25228907826,4732.07903194008,7.77159999333553,0.352312562201874,2239.56221019083,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2010,2506.85286230198,1198.0843294236,5245.29961614226,7.8267834056908,0.376692757355264,2363.18245165247,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2011,2943.02005018641,1480.56898765028,5850.02596167109,7.98719156104969,0.350521653702777,2777.84343333319,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2012,1544.06728162818,776.267879085457,3071.28999463877,7.34217530581936,0.350862386055541,1457.79838811116,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2013,2140.70920528907,844.367599797602,5427.29955851908,7.66889245745429,0.474653881517552,2013.99385171149,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2014,2048.62079802676,1004.93240737917,4176.24821658707,7.62492206426309,0.363397750157132,1932.6725960514,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2015,1071.81930219532,467.72399769212,2456.14213131451,6.97711276603772,0.423086546054999,1006.71984615329,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
2016,6877.00646395578,3742.41273501163,12637.093034353,8.83593872925771,0.310440873063656,6517.8411323237,"index","Coastwide",32,"widow rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-500,33.5,49,FALSE,200,"iid","off",TRUE
