"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,1398.75035363947,632.112782706142,3095.17953968683,7.24333451245146,0.405245548817061,1277.12562293675,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2004,585.588187715476,170.582032693421,2010.25582927716,6.37261679119276,0.62929752267767,524.946096790807,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2005,353.548152453539,132.652171247091,942.286092479255,5.86801969233596,0.500156763786552,319.72622677672,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2006,865.281083100083,337.791762426291,2216.48789595403,6.76305440570735,0.47991942454041,782.907081597564,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2007,561.0131552298,189.950069563489,1656.9394318421,6.32974435485524,0.552552555834755,504.376222244729,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2008,922.542748126131,376.412821651599,2261.04179550999,6.82713371427316,0.457379446925618,840.217336220351,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2009,728.866177242309,188.808400449219,2813.67726787506,6.59149014484523,0.689174601611815,650.613766817502,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2010,824.767312414899,342.898233520394,1983.7988450519,6.71510130099465,0.447797816720212,747.387156481081,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2011,753.304904037071,265.005879757588,2141.34221838922,6.62447006488224,0.533029208504993,676.873723770567,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
2012,541.000741804038,212.831331417507,1375.18193718561,6.29342065001751,0.475988679711381,491.617936164537,"index","Coastwide",33,"yelloweye rockfish","delta_lognormal","catch_weight ~ 0 + fyear + pass_scaled",-55,-325,42,49,FALSE,200,"off","off",TRUE
