"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name","family","formula","min_depth","max_depth","min_latitude","max_latitude","anisotropy","knots","spatiotemporal1","spatiotemporal2","share_range"
2003,14924.2519756685,7618.90703537256,29234.2846551553,9.61074281812163,0.34304437158546,13707.4358436689,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2004,11407.8323945306,5285.72739081791,24620.7627294158,9.34205545062211,0.392502073904557,10367.7700782996,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2005,19590.4429739167,11061.595109362,34695.3085987992,9.88279712292983,0.291618947843672,18109.9892090321,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2006,9578.2216950099,4801.76501667905,19105.9601042719,9.16724722690843,0.35230667055128,8776.71765611228,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2007,13521.8322754703,7549.03880114036,24220.2951796103,9.5120608637481,0.297395944677934,12475.0237971371,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2008,9344.06530060519,4826.8597757383,18088.6871379269,9.14249669355014,0.337019105199691,8510.71082044814,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2009,8910.31018926668,4740.10721775088,16749.3316125075,9.09496433346905,0.322020865809532,8050.63695129927,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2010,18773.0745754712,10437.4698416487,33765.6859720834,9.84017891880202,0.299506237716769,17298.3025190213,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2011,16244.6621258686,9151.66211681442,28835.095113355,9.69551964923308,0.292775203970934,15003.8973291184,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2012,17408.7177622556,9493.6653726767,31922.7023735331,9.76472638055289,0.309366056231179,16120.1849416637,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
2013,10270.5918214164,4396.03263522553,23995.5125712424,9.23703992749562,0.432958051702741,9323.86104663404,"index","Coastwide",34,"yellowtail rockfish","delta_lognormal","catch_weight ~ 0 + fyear*split_mendocino + pass_scaled",-55,-425,33.5,49,TRUE,400,"iid","off",TRUE
