Species,Count,Read
arrowtooth flounder,254,96
aurora rockfish,617,567
bank rockfish,733,85
big skate,180,180
black rockfish,756,643
blackgill rockfish,126,126
rougheye and blackspotted rockfish,549,549
blue and deacon rockfish,70,0
bocaccio,837,737
brown rockfish,77,42
canary rockfish,1480,1184
chilipepper,157,157
China rockfish,12,0
copper rockfish,186,171
cowcod,431,170
darkblotched rockfish,958,927
Dover sole,820,635
English sole,174,0
greenstriped rockfish,73,73
greenspotted rockfish,338,175
kelp greenling,8,8
lingcod north,1161,1031
lingcod south,1161,1031
longnose skate,508,508
longspine thornyhead,341,63
Pacific cod,125,0
Pacific hake,3998,3991
petrale sole,728,598
Pacific ocean perch,583,583
quillback rockfish,167,162
redbanded rockfish,330,125
rosy rockfish,59,39
sablefish,1312,1157
shortbelly rockfish,259,0
speckeled rockfish,459,301
splinose rockfish,37,0
stripetail rockfish,67,67
starry rockfish,340,0
squarespot rockfish,118,118
shortspine thornyhead,1136,862
swordspine rockfish,89,89
tiger rockfish,1,0
vermilion and sunset rockfish,1728,1405
widow rockfish,322,92
yelloweye rockfish,708,119
yellowmouth rockfish,12,0
yellowtail rockfish south,739,672
yellowtail rockfish north,739,672
