"Common_name","min_depth","min_depth_01","max_depth","max_depth_99","min_lat","min_lat_01","max_lat","max_lat_99"
"California scorpionfish",58.1854,58.720488,861.2023,278.592,32.40333333,32.5788777748,35.35083333,34.46306667
"Dover sole",55.3333,64.272851,1261.2144,1130.077,31.99861111,32.6940805559,48.46,48.25886944
"English sole",55.3333,60.185348,479.6742,355.162526,32.57472222,32.80185,48.46,48.2884055592
"Pacific cod",55.5792,61.285577,285.2515,253.086303,39.17083333,42.5468749999,48.44444444,48.3986527767
"Pacific ocean perch",72.1416,116.6146,714.8932,457.13048,34.45111111,39.747000002,48.42277778,48.305944448
"Pacific sanddab",55.3333,59.814151,490.6382,234.105066,32.07944444,32.7342444452,48.42555556,48.1608388922
"Pacific spiny dogfish",56.6928,61.955711,1254.5466,466.378,32.58083333,32.9145250014,48.46,48.3623055551
"arrowtooth flounder",57.1,65.683764,992.0066,524.428319999999,34.84166667,37.8781666672,48.46,48.3542888896
"aurora rockfish",104.6491,260.062108,1021.0273,618.784384,32.05416667,32.6868222212,48.20638889,47.8683333336
"bank rockfish",94.1806,106.436139,507.2526,488.497802,32.09805556,32.6466888886,48.12027778,46.1473472228
"big skate",55.3333,59.209584,459.2613,260.61434,32.72111111,34.2736,48.43277778,48.1483111116
"black rockfish",61.4866,61.643404,89.2,88.204,42.85944444,42.9083944404,47.31222222,47.2412555532
"blackgill rockfish",122.2351,185.45118,829.4,554.64304,32.07388889,32.5132555564,48.06944444,45.5868555516
"bocaccio",55.75,63.402978,456.6,333.406484,32.58888889,32.7642888892,48.38944444,48.2324222198
"cabezon",64.9,64.9,64.9,64.9,48.37027778,48.37027778,48.37027778,48.37027778
"canary rockfish",56.6928,63.281304,351.373,257.700266,32.61694444,35.2678222196,48.435,48.3352166692
"chilipepper",55.75,65.415925,463.646,365.354061,32.09805556,33.0262861083,48.15888889,45.78227222
"copper rockfish",76.7,76.747858,80.2464,80.22333,44.42527778,44.425288891,44.49416667,44.4928000032
"cowcod",61.6434,73.672326,522.1,301.304,32.58083333,32.6283222232,46.8025,43.8372500034
"darkblotched rockfish",69.8,96.599108,579.9,442.668448,33.55777778,35.0999444464,48.435,48.2941444444
"flathead sole",62.0893,74.689238,462.1,329.521251999999,32.92138889,41.6241472195,48.45083333,48.3981166705
"greenspotted rockfish",62.2812,77.104685,347.7052,293.046125,32.40333333,32.5894722245,48.38944444,48.238388887
"greenstriped rockfish",60.2,80.013056,474.3068,294.440288,32.07944444,32.72541111,48.45083333,48.2551888888
"kelp greenling",59.8277,61.24898,175.3592,156.82121,42.42638889,42.4912083345,48.37027778,48.3183472245
"lingcod north",56,62.362722,399.997,322.898762,40.17194444,40.5018055548,48.43666667,48.32638889
"lingcod south",55.75,60.21938,750.3,367.22,32.6,33.312666664,40.16055556,40.053833332
"longnose skate",56,65.1,1227.1542,820.12542,32.03027778,32.791666666,48.46,48.294611112
"longspine thornyhead",83.7,360.3747,1271.1034,1236.878275,31.99861111,32.4612222235,48.28777778,47.9390833365
"petrale sole",55.3333,60.790486,540.9428,396.880826,32.64444444,33.6795388852,48.46,48.2935166648
"quillback rockfish",60.8724,62.737996,398.1441,226.931789000002,42.48722222,42.4880111081,48.44444444,48.4203833352
"redbanded rockfish",83.4957,139.390352,550.3712,421.935775,32.67166667,34.3872666664,48.45083333,48.3226416682
"redstripe rockfish",66.2771,69.937868,376.1,278.866592,32.58083333,36.805455558,48.38944444,48.3473666692
"rex sole",55.3333,62.170003,936.8734,608.299631,32.33527778,32.8747999978,48.46,48.2952611133
"rosethorn rockfish",60.8116,73.343099,502.8,403.853293,32.58416667,32.6710083314,48.38944444,48.2763499976
"rougheye and blackspotted rockfish",112.4,124.15011,864.9369,530.052185,33.57027778,39.3841833341,48.43277778,48.4114027812
"sablefish",56,68.402198,1268.4297,1200.488136,31.99861111,32.7058222246,48.46,48.2461277738
"sharpchin rockfish",76.3244,104.593148,464.8,412.916,33.13194444,34.2493777744,48.42361111,48.3217444448
"shortraker rockfish",299.8,300.123,554.5678,545.767274,34.98527778,36.4762250026,48.20777778,48.1939888913
"shortspine thornyhead",67.0615,155.413484,1271.0456,1224.890585,31.99861111,32.6473194423,48.43861111,48.2393083292
"silvergray rockfish",66.2771,70.413863,366,321.322022,38.71833333,40.0881694437,48.26111111,48.2387555552
"splitnose rockfish",67.7949,132.780296,703.8,515.296495,32.33166667,32.6928555577,48.42361111,48.1371833315
"squarespot rockfish",58.749,62.19858,241.2,211.269436,32.07944444,32.5839999968,47.33777778,42.5226666668
"starry rockfish",62.1393,62.83584,199.3,190.012283,32.40333333,32.5448555517,37.95055556,37.74493056
"stripetail rockfish",58.6197,69.01458,490.9735,366.8013,32.33527778,32.712888888,48.41555556,47.956333336
"vermilion and sunset rockfish",58.1854,59.79,478.3292,251.813584,32.59055556,32.613161109,45.82055556,40.9490222248
"widow rockfish",59.4,66.539,456.9101,373.982865,33.63444444,34.2550361116,48.38944444,48.2605694429
"yelloweye rockfish",63.5,76.70288,321.4525,248.98935,34.72277778,36.653166664,48.38944444,48.317833336
"yellowmouth rockfish",113.6444,121.984864,451.6965,451.022728,38.345,40.3847666652,48.32916667,48.2531444468
"yellowtail rockfish north",60.8724,68.222088,414.9,261.262316,40.185,40.4994666676,48.41555556,48.3478333376
"yellowtail rockfish south",60.2323,61.502336,254.2439,231.497832,33.79222222,34.19512222,40.05583333,40.00483333
